data,timestamp,apertura,massimo,minimo,chiusura,variazione,volume
04/29/2026,1777413600,1025.129,1025.129,1025.129,1025.129,"+3,595 (+0,35%)",0
04/28/2026,1777327200,1021.534,1021.534,1021.534,1021.534,"+2,387 (+0,23%)",0
04/27/2026,1777240800,1019.147,1019.147,1019.147,1019.147,"+1,956 (+0,19%)",0
04/24/2026,1776981600,1017.191,1017.191,1017.191,1017.191,"−3,702 (−0,36%)",0
04/23/2026,1776895200,1020.893,1020.893,1020.893,1020.893,"+8,471 (+0,84%)",0
04/22/2026,1776808800,1012.422,1012.422,1012.422,1012.422,"+11,320 (+1,13%)",0
04/21/2026,1776722400,1001.102,1001.102,1001.102,1001.102,"+11,221 (+1,13%)",0
04/20/2026,1776636000,989.881,989.881,989.881,989.881,"+9,192 (+0,94%)",0
04/17/2026,1776376800,980.689,980.689,980.689,980.689,"−26,995 (−2,68%)",0
04/16/2026,1776290400,1007.684,1007.684,1007.684,1007.684,"+15,337 (+1,55%)",0
04/15/2026,1776204000,992.347,992.347,992.347,992.347,"+2,078 (+0,21%)",0
04/14/2026,1776117600,990.269,990.269,990.269,990.269,"−16,256 (−1,62%)",0
04/13/2026,1776031200,1006.525,1006.525,1006.525,1006.525,"+17,742 (+1,79%)",0
04/10/2026,1775772000,988.783,988.783,988.783,988.783,"+12,117 (+1,24%)",0
04/09/2026,1775685600,976.666,976.666,976.666,976.666,"+8,463 (+0,87%)",0
04/08/2026,1775599200,968.203,968.203,968.203,968.203,"−77,586 (−7,42%)",0
04/07/2026,1775512800,1045.789,1045.789,1045.789,1045.789,"−3,882 (−0,37%)",0
04/06/2026,1775426400,1049.671,1049.671,1049.671,1049.671,"+1,708 (+0,16%)",0
04/02/2026,1775080800,1047.963,1047.963,1047.963,1047.963,"+65,015 (+6,61%)",0
04/01/2026,1774994400,982.948,982.948,982.948,982.948,"−34,443 (−3,39%)",0
03/31/2026,1774908000,1017.391,1017.391,1017.391,1017.391,"+87,595 (+9,42%)",30
03/30/2026,1774821600,929.796,929.796,929.796,929.796,"+1,627 (+0,18%)",0
03/27/2026,1774562400,928.169,928.169,928.169,928.169,"+4,818 (+0,52%)",0
03/26/2026,1774476000,923.351,923.351,923.351,923.351,"+4,584 (+0,50%)",0
03/25/2026,1774389600,918.767,918.767,918.767,918.767,"−11,459 (−1,23%)",0
03/24/2026,1774303200,930.226,930.226,930.226,930.226,"+7,486 (+0,81%)",0
03/23/2026,1774216800,922.740,922.740,922.740,922.740,"−31,292 (−3,28%)",0
03/20/2026,1773957600,954.032,954.032,954.032,954.032,"+7,600 (+0,80%)",0
03/19/2026,1773871200,946.432,946.432,946.432,946.432,"+12,810 (+1,37%)",0
