date,residual,phase,metodo,evento,carburante,break_date
2026-01-17,0.0005674610748645503,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-18,-0.0040505627829874324,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-19,-0.0036556985440575618,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-20,-0.0039950395247340675,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-21,-0.0028101752858041285,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-22,0.00205140877161597,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-23,0.004716273010545946,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-24,0.005821137249475805,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-25,0.012581074242466073,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-26,0.011242901647320114,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-27,0.013007825291332986,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-28,0.017129494499323772,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-29,-0.008728347350333343,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-30,-0.006483483111403454,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-31,-0.0058086188724735255,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-01,0.008542146804567163,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-02,2.6793600742314183e-05,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-03,-0.009649635942764079,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-04,-0.009924771703834157,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-05,-0.00706123620110688,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-06,-0.0067363719621769125,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-07,-0.00654150772324702,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-08,-0.011180457823711132,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-09,-0.010065266062185885,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-10,-0.007726981237082542,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-11,0.000472195525204111,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-12,0.0017870597641340136,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-13,0.0036519240030639666,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-14,0.0038467882419939703,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-15,0.004726671125694637,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-16,0.004391535364624666,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-17,-0.0017383151706615863,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-18,-0.0053585574735595665,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-19,-0.006813050636605922,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-20,-0.002908186397675927,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-21,0.0019466778412539631,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-22,0.003931002311154619,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-23,0.004853611902306598,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-24,0.006707813225031167,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-25,0.009234468309689048,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-26
