date,residual,phase,metodo,evento,carburante,break_date
2026-01-21,-0.014429282170894259,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-22,-0.002096406659868044,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-23,0.0026078750049118027,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-24,0.004364363216255773,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-25,0.0048708514275997705,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-26,0.00409411248949576,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-27,0.0046032565232713984,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-28,-0.0006559224410115638,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-29,-0.012894279776954232,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-30,-0.03500404458654252,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-31,-0.028487556375198564,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-01,-0.02742106816385456,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-02,0.008029785270567191,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-03,0.011455972815142629,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-04,0.010652258773269196,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-05,0.010861681365961245,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-06,0.002857750431003614,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-07,0.003334238642347498,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-08,0.0035107268536914427,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-09,0.00457530716369603,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-10,0.015302416423527726,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-11,0.005289615824884353,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-12,0.005983038888170339,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-13,0.025877533518026463,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-14,0.026434021729370455,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-15,0.026640509940714374,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-16,0.02139669193284216,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-17,0.025695034702276437,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-18,0.006661547315687855,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-19,-0.01650550472206222,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-20,-0.016995785670685937,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-21,-0.011859297459342028,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-22,-0.010532809247997987,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-23,-0.017986664633466515,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-24,-0.004881974785726606,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-25,-0.0003757613900707002,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-26,-0.01205527928584424,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-27,-0.010782139172409,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-28,-0.0067656509610649895,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-01,-0.005369162749721046,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-02,-0.10557829028732976,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-03,-0.1383749858587583,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-04,-0.06562079403364954,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-05,-0.08029145192233783,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-06,-0.05490309922194078,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-07,-0.014896611010596944,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-08,-0.0014001227992530008,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-09,-0.10799674359690722,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-10,0.03157372986786733,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-11,0.00902778448300387,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-12,0.007303190133553572,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-13,-0.008101614245102112,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-14,0.010474873966241915,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-15,0.01601136217758578,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-16,-0.037856310950492744,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-17,-0.019495462635297667,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-18,-0.06839347734151072,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-19,-0.10580655281958246,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-20,-0.25410046984045587,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-21,-0.265663981629112,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-22,-0.2543574934177679,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-23,-0.0021605411791491558,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-24,0.03146335752540533,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-25,0.12923266275168066,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-26,0.017414609713971296,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-27,-0.008332383031069951,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-28,-0.0009458948197259565,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-29,0.002090593391617962,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-30,-0.02018623088338639,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-31,0.014160586455457397,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-02
