date,residual,phase,metodo,evento,carburante,break_date
2025-05-11,-0.01799215174607577,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-12,-0.019524003450815508,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-13,-0.01649005946372331,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-14,-0.007885443141488091,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-15,-0.0035634077767284222,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-16,-0.007229463789636265,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-17,-0.007585519802544155,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-18,-0.006117686506713127,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-19,0.005917585457387492,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-20,0.007026928026714591,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-21,0.009513574402285119,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-22,0.011785613133455691,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-23,0.011349557120547943,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-24,0.010823501107640021,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-25,0.011898561665920016,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-26,0.011942505653012164,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-27,0.01231190699261886,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-28,0.009861553759815012,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-29,0.012786423549437959,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-30,0.011990367536530155,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-31,0.011064311523622306,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-01,0.0044251038039313795,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-02,0.00021195527149497906,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-03,-0.0009641007414128433,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-04,0.0013495460224996758,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-05,0.0010719650200561037,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-06,0.00039590900714819854,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-07,9.985299424034033e-05,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-08,-0.00012620301866747563,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-09,-0.0025397843492125927,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-10,-0.012245850086552684,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-11,-0.008214876800346355,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-12,-0.007660932813254195,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-13,-0.00613698882616201,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-14,-0.00011304483906984797,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-15,-0.0019078471523321094,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-16,-0.009137061440338268,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-17,-0.005549356250408838,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-18,-0.006078442019983699,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-19,0.0012355019671084766,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-20,0.01114944595420067,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-21,0.01916338994129274,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-22,0.027706293665985537,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-23,0.021570237653077723,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-24,0.034906094531456655,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-25,0.035841518476769085,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-26,0.03817994788176057,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-27,0.036643891868852724,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-28,0.03403783585594483,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-29,0.05551865809841286,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-30,0.04641427424012326,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-01,0.043538218227215375,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-02,0.036746587266224734,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-03,0.026888007831972288,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-04,0.024571951819064408,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-05,0.0232158958061566,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-06,0.02269983979324877,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-07,0.020206572218467722,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-08,0.019270516205559918,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-09,0.023754581215837206,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-10,0.01971470816346521,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-11,0.020098652150557395,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-12,0.019552596137649564,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-13,0.020285312442678338,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-14,0.021142852696010683,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-15,0.02236565666729881,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-16,0.01672116029229781,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-17,0.018357487785256865,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-18,0.01713143177234902,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-19,0.016905375759441205,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-20,0.017918450239577277,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-21,0.018042394226669395,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-22,0.02102623575455434,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-20
