date,residual,phase,metodo,evento,carburante,break_date
2025-04-23,0.000639620524220591,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-24,-0.005460063703223439,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-25,-0.010506411803406834,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-26,-0.010859256453508687,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-27,-0.010982101103610448,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-28,-0.0057641612943885034,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-29,0.0009367845970097988,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-30,0.006667699943444988,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-01,0.013606043115226896,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-02,0.015883253898826444,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-03,0.014800409248724583,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-04,0.014337564598622704,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-05,0.025137820277153056,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-06,0.005898432762137196,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-07,0.015666684515460022,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-08,0.0045920755892576715,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-09,-0.005145288582491692,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-10,-0.006108133232593432,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-11,-0.006190977882695264,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-12,-0.004466496174430623,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-13,-0.026609795924918966,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-14,-0.022995779458384852,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-15,-0.014266859046142777,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-16,-0.0015398872844105682,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-17,0.0025972680654875735,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-18,0.0039044234153857438,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-19,-0.011337660614332723,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-20,-0.00441143773764438,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-21,-0.0017364440404467885,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-22,0.002970790649013122,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-23,-0.002146972897302868,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-24,-0.002279817547404722,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-25,-0.0019526621975065328,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-26,0.002581156743942159,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-27,0.0055540390648173565,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-28,-0.00506023700178318,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-29,-0.003083503142743249,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-30,0.009396138021649014,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-31,0.008893293371547178,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-01,0.008840448721445432,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-02
