date,residual,phase,metodo,evento,carburante,break_date
2022-01-28,0.005753487693708648,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-29,0.013967903573472773,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-30,-0.019639169874420187,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-31,-0.022281158265814505,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-01,-0.01798015538678674,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-02,-0.01838439798199898,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-03,-0.021927785602244648,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-04,-0.019123369722480577,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-05,-0.01383895384271655,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-06,-0.005193686509276624,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-07,0.0004932081314595882,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-08,-0.0012085688792130844,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-09,0.0010395958290008722,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-10,-0.00630613486795048,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-11,-0.003311718988186496,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-12,-5.7303108422335214e-05,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-13,-0.004402720340827726,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-14,0.006993286325484183,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-15,0.006992233038501744,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-16,0.019368068830808327,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-17,0.02543301705580933,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-18,0.02924743293557336,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-19,0.03228184881533741,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-20,0.02919682569807039,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-21,0.0278212415778345,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-22,0.028728464505718726,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-23,0.03284099104404675,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-24,0.035614042673812324,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-25,0.04221845855357631,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-26,0.05175287443334042,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-27,0.024743909475613418,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-28,-0.0030394111512011546,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-01,-0.044336104135504345,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-09
