date,residual,phase,metodo,evento,carburante,break_date
2022-01-30,-0.06665032647142868,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-01-31,-0.06007186148675736,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-01,-0.05038828766645706,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-02,-0.03787495068619057,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-03,-0.04253169640573862,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-04,-0.053041743882813325,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-05,-0.04407386461622559,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-06,-0.03791598534963783,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-07,-0.03643279152879997,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-08,0.0014321637737940984,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-09,-0.003129763771329064,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-10,0.0035520007888959204,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-11,0.011528938114589438,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-12,0.018196817381177233,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-13,0.02382469664776496,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-14,0.013600591709339138,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-15,0.034838223260156204,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-16,0.03328906508067403,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-17,0.06271939147965674,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-18,0.0679368799753687,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-19,0.07434475924195653,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-20,0.07975263850854426,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-21,0.07070408194889799,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-22,0.06809837741927408,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-23,0.07985112554537138,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-24,0.04043656142385041,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-25,0.08473590751898097,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-26,0.09810378678556868,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-27,0.10574166605215647,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-28,0.07396906148017333,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-01,0.025468355683216502,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-11
