date,residual,phase,metodo,evento,carburante,break_date
2026-01-17,0.00490736541041864,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-18,-0.0030026750049919615,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-19,0.0007547913272566431,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-20,0.0006868641672943543,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-21,-0.0003033784099591985,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-22,0.00505771744255562,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-23,0.004130697513246129,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-24,0.0024614815721704097,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-25,0.010739753730877266,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-26,0.003998894927752905,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-27,0.0055165886500910255,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-28,0.012343380433757989,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-29,-0.01976975500777517,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-30,0.0020484737520354845,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-31,0.00575389758262107,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-01,0.003816093481368632,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-02,-0.005745929461765553,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-03,-0.007338335822042852,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-04,-0.0008319084482362737,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-05,-0.00209012860129143,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-06,-0.005026235135314083,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-07,-0.002107243895472344,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-08,-0.007370736846147197,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-09,-0.004339856823526889,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-10,-0.0012910483863977085,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-11,0.0025496378731563185,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-12,-0.0010961364053907463,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-13,0.0009147973589921921,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-14,0.0015956304458253912,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-15,0.0005066218966049418,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-16,0.00033468917912993223,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-17,-0.005237880771069736,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-18,-0.004827710131014296,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-19,-0.003426669170680574,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-20,-0.0010526960803807217,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-21,0.0009409238398792596,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-22,-0.0002450528655217332,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-23,0.00011297735293991362,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-24,0.0021878939443892853,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-25,0.002712323328741828,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-26,-0.009328488746272845,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-27,-0.007993624507342922,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-28,-0.006238760268412913,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-01,-0.028980445916310216,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-02,-0.05404759288062616,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-03,-0.0423543128024933,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-04,-0.04106481724687766,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-05,-0.021039953007947754,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-06,-0.0014150887690178027,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-07,0.013269775469912093,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-08,-0.024927927199862532,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-09,-0.00627380479998102,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-10,-0.006346032570222759,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-11,-0.025231684053757808,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-12,-0.032288586757425464,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-13,-0.024383722518495576,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-14,-0.011308858279565681,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-15,-0.00776769658618065,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-16,-0.034636759028945086,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-17,-0.020633556695573152,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-18,-0.012945353239336044,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-19,-0.0039470598669610335,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-20,-0.153652195628031,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-21,-0.1738773313891011,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-22,-0.14448639064005753,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-23,0.06324590164191679,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-24,0.08685129071766462,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-25,0.08969914908697496,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-26,0.08572533829617279,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-27,0.08659020253510274,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-28,0.08814506677403267,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-29,0.08506096497751814,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-30,0.036547719990062566,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-31,0.062131686633600136,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-26
