date,residual,phase,metodo,evento,carburante,break_date
2025-05-11,-0.017255265109758083,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-12,-0.002704276136009376,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-13,0.0017557316584624894,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-14,0.007564197975761161,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-15,0.003938611113687401,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-16,-0.0037147557824333266,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-17,-0.0006711452434558507,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-18,0.0011354362754426583,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-19,0.011822817122775636,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-20,0.0018120429836836205,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-21,0.003282312090059719,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-22,0.0032643135928571987,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-23,0.0007366785002917708,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-24,0.0006233506096371411,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-25,0.0021943666767546832,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-26,0.0012536356411668448,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-27,0.0015918857079112725,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-28,-0.0011905850743592072,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-29,0.0040097316532472504,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-30,0.0005183918620599304,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-31,0.00033797351774206286,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-01,-0.005435379197181678,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-02,-0.0034994428835789793,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-20
