date,residual,phase,metodo,evento,carburante,break_date
2025-04-23,0.010583758884658623,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-24,-0.004367408922924587,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-25,-0.004745606719736228,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-26,-0.0012567795447527286,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-27,-0.0012206130977779062,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-28,0.003975873049849282,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-29,0.006464828851098725,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-30,0.006820143956393521,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-01,0.009144001357472342,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-02,0.005859343017698138,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-03,0.0028718906858244964,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-04,0.0031408365842343078,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-05,0.014186412592249342,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-06,-0.01364501408327129,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-07,0.011101185289964566,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-08,-0.0077557221910449226,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-09,-0.008921463949990188,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-10,-0.002361927717274115,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-11,-0.0018071373451276629,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-12,-0.00013549447387881108,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-13,-0.023749714431395813,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-14,-0.0028792554720040164,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-15,0.002896160236895595,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-16,0.008656323355332285,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-17,0.0026896814882770848,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-18,0.0006328619942332914,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-19,-0.015752695718384196,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-20,0.0030150730007812987,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-21,0.00013770751429686978,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-22,0.0026282223589151887,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-23,-0.006300817033245004,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-24,-0.0025359552006453123,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-25,-0.0022224072184865995,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-26,0.0019368748378799927,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-27,0.0012345484047138477,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-28,-0.011830179674480107,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-29,-0.001643014091403494,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-30,0.009167782415899328,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-31,-0.0012447965965428631,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-01,-0.0010209357417389209,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-02,-0.001851638533926031,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-03,-0.007722263407858171,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-02
