date,residual,phase,metodo,evento,carburante,break_date
2022-01-28,0.030412872101443722,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-29,0.014396593891422615,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-30,-0.025727191895683926,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-31,-0.0035519203595887616,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-01,0.002366328961163261,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-02,-0.0016225741404710392,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-03,-0.0052253046955245686,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-04,-0.00012828578362952814,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-05,0.002692759536185557,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-06,0.007016562481104299,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-07,0.005863937352342086,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-08,-0.00046085376535739964,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-09,0.002700121511970993,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-10,-0.006692218910657716,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-11,0.0014436347612943046,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-12,0.002092326118436738,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-13,-0.005053615796037553,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-14,0.009235899657520669,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-15,0.0003343863678056669,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-16,0.012348797142494677,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-17,0.008779166634091284,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-18,0.007687318797234943,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-09
