date,residual,phase,metodo,evento,carburante,break_date
2022-01-30,0.13763167651002495,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-01-31,0.001690585669597594,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-01,0.0044370465015584615,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-02,0.006987666969800299,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-03,-0.009370402909311487,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-04,-0.00793175075764102,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-05,0.003806696728887171,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-06,-0.008765741045432679,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-07,-0.001525507711351487,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-08,0.03482271434281786,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-09,-0.02231009663102204,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-10,0.023523163204393627,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-11,-0.0028343773256209737,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-12,0.001766652611955133,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-13,0.0018912344213047882,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-14,-0.014353831884178297,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-15,0.021780589699144814,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-16,-0.020382190742118833,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-17,0.03589685305003579,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-18,-0.01144218604695263,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-19,0.015248954320332103,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-20,0.00020157206986418097,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-21,-0.013251897296790466,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-22,-0.0025767964673787946,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-23,0.0014928713544959116,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-24,-0.05080521993281184,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-25,0.05798011793397018,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-26,-0.029575258106370572,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-27,0.022158887234942803,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-28,-0.032791365839202474,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-01,-0.03967542496889499,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-02,-0.06144201373274047,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-03,-0.03482745331377225,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-04,-0.0673496599812556,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-05,0.05197555325785278,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-06,-0.0187473730702164,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-07,-0.09235794645538342,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-08,-0.050974710672789164,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-09,0.04700263141998806,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-10,0.028394313828287915,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-11,0.4212216357611052,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-12,0.4354397736347145,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-13,0.44210791150832357,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-14,0.41857775379363577,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-17,0.35730102608903,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-18,0.37487221757579237,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-19,0.3334803554494017,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-20,0.32870849332301066,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-21,0.25047166921093345,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-22,0.22584535609763903,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-23,-0.02818493543859521,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-24,-0.0825737841518382,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-25,-0.04299284753829043,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-26,-0.03440470966468129,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-27,-0.03361657179107207,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-28,0.3135196276799584,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-29,0.3736233828910157,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-30,0.36171910898365134,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-31,0.3806970121093288,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-01,0.34791507234714747,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-02,0.3420632102207567,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-03,0.3383613480943658,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-04,0.31171338167708496,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-11
