metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-42.0,0.18099,-118.78,A,0.08466,2.1165,56.6,14.2,99.0,,-184.47,-179.4,0.14637,300.051,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-42.0,0.18099,-118.78,B,0.10659,2.6647,71.3,-33.3,175.8,,-293.74,-286.98,0.15972,268.614,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-42.0,0.18099,-118.78,C,0.13707,3.4268,91.6,52.2,131.0,,-164.54,-161.17,0.18115,223.951,A,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-42.0,0.18099,-118.78,S,-0.06226,-1.5564,-42.0,-261.4,177.4,,-118.78,-115.98,0.18099,603.153,A,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.6745,0.0,8.383,0.5915
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,396.4,0.2879,-93.56,A,0.28201,6.4862,509.8,170.3,849.3,,-148.84,-143.85,0.33312,98.869,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,396.4,0.2879,-93.56,B,0.26678,6.1359,482.1,20.8,943.3,,-251.39,-244.64,0.31719,99.066,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,396.4,0.2879,-93.56,C,0.27661,6.3621,499.8,256.7,742.9,,-98.92,-95.54,0.3247,98.752,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,396.4,0.2879,-93.56,S,0.21912,5.0398,396.4,-540.0,1332.8,,-93.56,-90.76,0.2879,89.803,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.8947,0.0013,5.295,0.8707
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,40,40,40,33,"(1, 0, 0)",0.9005,0.002,7.949,0.6338,10,8.0,0.01967,-228.66,A,0.03122,1.0303,37.7,15.2,60.2,,-320.04,-314.98,0.03254,11.709,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,40,40,40,33,"(1, 0, 0)",0.9005,0.002,7.949,0.6338,10,8.0,0.01967,-228.66,B,0.01618,0.5339,19.2,-18.6,57.0,,-434.2,-427.44,0.02069,5.978,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
