date,residual,phase,metodo,evento,carburante,break_date
2026-01-17,0.2835191066383189,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-18,-0.004852888096347874,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-19,0.005012888096164347,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-20,0.0018737362161405646,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-21,0.0027322002156484615,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-22,0.0057739509377877085,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-23,0.0025598081505692205,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-24,0.0004806113085872865,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-25,0.005996549891457703,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-26,-0.002623359167437167,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-27,0.00044172479883741733,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-28,0.0028710437961740887,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-29,-0.027266998550997512,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-30,0.0018618143188130487,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-31,0.0012823434057905314,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-01,0.014847661218924169,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-02,-0.00843679859947244,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-03,-0.01000994359730989,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-04,-0.00010564496965992376,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-05,0.003432634219315278,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-06,0.0008617820864641468,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-07,0.0005874816134562866,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-08,-0.004284195938016433,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-09,0.001460711036583906,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-10,0.0028546591219618667,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-11,0.008657781022639144,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-12,0.0016762724132607931,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-13,0.001881100813096559,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-14,0.00015258514954197278,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-15,0.0007620133768582726,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-16,-0.00045337039738085894,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-17,-0.00628319462726129,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-18,-0.0038173926678403136,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-19,-0.0014363370052258295,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-20,0.004062281673837653,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-21,0.005123084594167104,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-26
