date,residual,phase,metodo,evento,carburante,break_date
2026-01-21,0.20766459412218713,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-22,0.012206387299682264,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-23,-0.007628593844895115,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-24,-0.006762093342929265,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-25,-0.005758062045607082,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-26,-0.005601772956916412,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-27,-0.0031955344642030092,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-28,-0.008431267011918653,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-29,-0.0142059776704401,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-30,-0.02230163453041667,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-31,0.008802584877282499,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-01,0.0024723314447381295,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-02,0.03663193599499223,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-03,0.001554596953403653,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-04,-0.0027949008849455226,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-05,-0.0015821277803439726,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-06,-0.009690004488693199,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-07,-0.000603954332268869,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-08,-0.0008684241850873131,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-09,6.791446582504745e-05,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-10,0.0097268691974558,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-11,-0.0114993917225715,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-12,-0.00024557144026854383,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-13,0.018966666373794017,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-14,-0.001195995826203694,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-15,-0.0014961675579726608,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-16,-0.006886625074226466,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-17,0.002920414227254392,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-18,-0.02051958069080481,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-19,-0.02392027828129234,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-20,-0.0004186317865415845,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-21,0.005222100122155987,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-22,0.0012436378985430652,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-23,-0.007575572949577142,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-24,0.013212546509995149,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-25,0.004225446821542106,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-26,-0.012081022939144898,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-27,0.001207238678813477,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-28,0.003917960486971628,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-01,0.0011948485798911057,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-02,-0.10044140789141573,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-03,-0.13347038420874874,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-04,-0.06094847312954446,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-05,-0.07585141176413723,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-06,-0.05069533980964466,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-07,-0.010921132344205275,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-08,0.0023430751212341894,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-09,-0.10448582642232451,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-10,0.03485236629654556,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-11,0.012074140165777625,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-12,0.010117265070422848,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-13,-0.005519820054137314,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-14,0.012824387411302235,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-15,0.01812859487674162,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-16,-0.03597135899724138,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-17,-0.017842791427950755,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-18,-0.06697308688006828,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-19,-0.1046184431040445,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-20,-0.25314464087082234,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-21,-0.264940433405383,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-02
