date,residual,phase,metodo,evento,carburante,break_date
2025-05-11,0.2134880357385744,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-12,-0.0014057956918319126,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-13,0.004565795691810343,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-14,0.007838377573264138,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-15,0.0008853383028677164,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-16,-0.007334284619523984,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-17,-0.0024427800931242083,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-18,-0.00016364221187525896,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-19,0.010431049381352059,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-20,-0.002085436037911198,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-21,-0.000411422035811182,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-22,-0.0005705965568026938,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-23,-0.003205070863450732,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-24,-0.0028954768793208463,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-25,-0.0009430387492317116,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-26,-0.0018621688607908249,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-27,-0.0013193415712272338,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-28,-0.003987164993085407,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-29,0.001842273606877498,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-20
