date,residual,phase,metodo,evento,carburante,break_date
2025-04-23,0.24710103093207908,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-24,-0.006646839575753072,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-25,0.001053336125207277,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-26,0.005268669413258126,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-27,0.004091885209269092,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-28,0.008421643135498674,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-29,0.008694641464493807,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-30,0.006427021301172259,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-01,0.006607319937007333,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-02,0.0012117473270760737,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-03,-0.0027523058989986637,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-04,-0.0022427528370118077,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-05,0.009251916316173558,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-06,-0.0204169544867297,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-07,0.007229157865992181,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-08,-0.011469067323779836,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-09,-0.0112179354358799,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-10,-0.0017859551605416413,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-11,9.431138596532884e-05,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-12,0.002078123386312525,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-13,-0.021696506487745876,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-14,0.002732936469637931,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-15,0.0101075403953092,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-16,0.014410607136458725,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-17,0.005676510009768987,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-18,0.0017774087047437714,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-19,-0.015218729108521317,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-20,0.005805596385928757,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-21,0.0034317236515357397,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-22,0.005119311914097424,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-23,-0.0046980131309600215,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-24,-0.0005432017612552464,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-25,0.00034410150268507356,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-26,0.004629062393523731,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-27,0.0033671218580883233,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-28,-0.010434613215474425,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-29,0.0010522361518753853,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-30,0.012672237869156527,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-31,0.0005389975788446799,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-01,-0.000233473871962403,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-02
