date,residual,phase,metodo,evento,carburante,break_date
2022-01-28,0.20129141293430997,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-29,0.006770000042266577,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-30,-0.041821489365504894,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-31,0.004504490609406664,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-01,0.01740423027159635,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-02,0.011427860147016605,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-03,0.003186637783005458,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-04,0.005873026839827544,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-05,0.007466857554031009,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-06,0.009087868041419478,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-07,0.003905929345563608,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-08,-0.006405844968029567,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-09,-0.003958615141482824,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-10,-0.011528552724422714,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-11,-0.00021444558300268146,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-12,0.0038987702147248726,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-13,-0.003510437860547666,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-14,0.01081868660410662,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-15,0.000926657200225639,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-16,0.009709698102364966,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-17,0.003384503362432789,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-18,-0.0020136768029078156,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-19,-0.003988180867665614,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-20,-0.009554995646428088,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-21,-0.006801537653783052,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-22,-0.001527023246874759,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-23,0.003908890643991442,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-24,0.0031997996226867664,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-25,0.005819994234854409,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-26,0.007856087601433859,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-27,-0.030396382711433606,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-28,-0.034727389685536875,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-01,-0.039122506500594595,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-02,0.022651387003834428,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-03,-0.01927481689445934,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-04,0.04204035651962751,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-05,0.0700248842549264,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-06,0.0033780751087843786,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-07,-0.042920708104453725,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-08,0.09265977248006138,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-09,0.09645114355118536,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-10,0.11484144560068124,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-11,0.11269653133937477,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-12,0.09915161707806863,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-09
