date,residual,phase,metodo,evento,carburante,break_date
2022-01-30,0.13763167651002495,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-01-31,0.0016905857180835593,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-01,0.003105108838345527,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-02,0.004382317633251531,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-03,-0.014248537626142088,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-04,-0.016539704893742624,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-05,0.006246162967500066,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-06,0.0023951357414120356,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-07,-0.0026217119852160464,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-08,0.03408776353494189,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-09,-0.012126649202668649,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-10,0.00032970806387572216,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-11,0.001594907363148601,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-12,0.0001529403171857402,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-13,-0.0008988243270035834,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-14,-0.01668660676763034,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-15,0.01588757070960123,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-16,-0.007892192736638715,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-17,0.023551538762685398,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-18,-0.001969718885708349,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-19,-0.0006756586209352156,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-20,-0.001641875659819686,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-21,-0.016020126854413008,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-22,-0.008849086456995503,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-23,0.005894109543984727,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-24,-0.04551879091622035,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-25,0.04001587348664369,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-26,0.007545332269783267,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-27,0.0015358750545655941,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-28,-0.03792946156265606,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-01,-0.053349647832770686,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-02,-0.05666598761925554,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-03,-0.020481533818039913,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-04,-0.03809285720886995,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-05,0.056959582836545904,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-06,0.02600429657845042,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-07,-0.11100788936431122,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-08,-0.09524049504030499,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-09,0.08635459436136284,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-10,0.11771440378549357,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-11,0.4212216224778174,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-12,0.43543974876026703,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-13,0.4421078750427165,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-14,0.418577705736869,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-15,0.4219658320193185,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-16,0.425353958301768,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-17,0.36407721900600254,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-18,0.3816483989016052,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-19,0.34025652518405486,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-20,0.3354846514665042,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-21,0.2572478157632673,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-22,0.2326214910588132,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-23,-0.021408812068580724,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-24,-0.0757976723729834,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-25,-0.03621674735059528,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-26,-0.02762862106814582,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-27,-0.02684049478569628,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-28,0.32029569309417455,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-29,0.3803994367140721,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-30,0.3684951512155481,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-03-31,0.3874730427500659,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-01,0.3546910913967249,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-02,0.3488392176791745,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-03,0.34513734396162393,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-04,0.31848936595318345,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-05,0.359474192410415,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-06,0.3741641665362982,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-07,0.4288238691735443,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-08,0.400111105466865,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-09,0.3969092317493144,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-10,0.3947373580317639,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-11,0.38074592495850285,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-12,0.3836184367874913,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-13,0.36648744197836214,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-14,0.3248512403565605,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-15,0.32972936663901,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-16,0.3380574929214596,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-17,0.33925561920390895,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-18,0.2961963460491611,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-19,0.3557125855850761,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
2022-04-20,0.3453866146435101,post,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-03-11
