date,residual,phase,metodo,evento,carburante,break_date
2026-01-17,0.0018894607767353522,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-18,-0.002810585318348602,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-19,-0.002497743316650758,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-20,-0.002919106534559235,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-21,-0.001816264532861267,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-22,0.0029632972873268604,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-23,0.005546139289024865,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-24,0.006568981290722753,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-25,0.013246896046480938,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-26,0.011826701214103008,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-27,0.01350960262088391,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-28,0.017549249591642724,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-29,-0.008390614495246362,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-30,-0.006227772493548445,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-31,-0.005634930491850543,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-01,0.008633812947958175,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-02,3.64375069013545e-05,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-03,-0.00972201427383701,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-04,-0.010079172272139059,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-05,-0.007297659006643753,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-06,-0.0070548170049458125,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-07,-0.006941975003247891,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-08,-0.011662947340943974,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-09,-0.010629777816650698,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-10,-0.008373515228779327,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-11,-0.00025636070372464514,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-12,0.0009764812979732307,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-13,0.0027593232996712125,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-14,0.002872165301369245,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-15,0.0036700259478379404,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-16,0.0032528679495359425,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-17,-0.0029590048229822807,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-18,-0.006661269363112288,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-19,-0.008197784763390614,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-20,-0.004374942761692591,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-21,0.0003978992400053283,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-22,0.0023002014726740128,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-23,0.003140788826594021,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-24,0.004912967912086563,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-25,0.007357600759512473,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-26,-0.011287378533681447,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-27,-0.010034536531983496,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-28,-0.008361694530285457,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-01,-0.031185402415414787,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-02,-0.0563345716169627,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-03,-0.04472331377606187,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-04,-0.0435158404576782,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-05,-0.023572998455980265,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-06,-0.004030156454282285,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-07,0.010572685547415583,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-08,-0.027707039359591012,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-09,-0.009134939196941472,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-10,-0.009289189204415182,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-11,-0.028256862925182202,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-12,-0.03539578786608183,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-13,-0.02757294586438397,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-14,-0.014580103862686045,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-15,-0.011120964406532985,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-16,-0.03807204908652939,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-17,-0.02415086899038943,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-18,-0.016544687771384292,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-19,-0.007628416636241309,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-20,-0.1574155746345433,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-21,-0.17772273263284538,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-22,-0.14841381412103377,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-23,0.059236455923708575,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-24,0.08275982276222443,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-25,0.08552565889430275,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-26,0.08146982586626861,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-27,0.08225266786796659,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-26
