date,residual,phase,metodo,evento,carburante,break_date
2026-01-21,-0.017330881117864128,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-22,-0.005037690746516749,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-23,-0.0003730942214157651,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-24,0.00134370885024937,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-25,0.0018105119219145038,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-26,0.000994087844131658,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-27,0.0014635467382284328,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-28,-0.0038353173657333373,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-29,-0.01611335984135487,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-30,-0.03826280979062199,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-31,-0.0317860067189569,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-01,-0.030759203647291733,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-02,0.004651964647451157,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-03,0.008038467052347759,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-04,0.007195067870795463,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-05,0.007364805323808676,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-06,-0.0006788107508278185,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-07,-0.00024200767916274235,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-08,-0.00010520460749766092,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-09,0.0009196905628280905,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-10,0.011607114682980924,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-11,0.0015546289446587147,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-12,0.0022083668682658375,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-13,0.022063176358443126,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-14,0.022579979430108255,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-15,0.02274678250177334,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-16,0.01746327935422229,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-17,0.02172193698397773,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-18,0.0026487644577102842,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-19,-0.020557972719718626,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-20,-0.021087938808021206,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-21,-0.015991135736356132,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-22,-0.014704332664690956,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-23,-0.02219787318983832,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-24,-0.009132868481777273,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-25,-0.004666340225800203,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-26,-0.016385543261252578,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-27,-0.015152088287496174,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-28,-0.011175285215831027,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-01,-0.009818482144165919,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-02,-0.1100672948214535,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-03,-0.1429036755325609,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-04,-0.07018916884713097,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-05,-0.08489951187549813,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-06,-0.059550844314779916,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-07,-0.019584041243114914,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-08,-0.006127238171449806,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-09,-0.11276354410878289,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-10,0.026767244216312824,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-11,0.004181613691770503,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-12,0.002417334202641369,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-13,-0.013027155315693179,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-14,0.005509647755972014,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-15,0.011006450827637015,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-16,-0.042900907440120345,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-17,-0.024579744264604103,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-18,-0.07351744411049599,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-19,-0.11097020472824659,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-20,-0.25930380688879884,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-21,-0.27090700381713384,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-22,-0.2596402007454686,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-23,-0.007482933646528689,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-24,0.02610127991834696,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-25,0.12383090000494343,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-26,0.011973161827555256,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-27,-0.013813516057164854,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
2026-03-28,-0.006466712985499695,post,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-02
