date,residual,phase,metodo,evento,carburante,break_date
2025-04-23,0.004374161622896944,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-24,-0.0018129765492174432,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-25,-0.0069467785940712234,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-26,-0.007387077188843433,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-27,-0.007597375783615579,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-28,-0.0024668899190639915,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-29,0.004146602027663926,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-30,0.009790063429428758,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-01,0.01664095265654031,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-02,0.018830709495469472,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-03,0.017660410900697254,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-04,0.01711011230592499,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-05,0.027822914039784985,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-06,0.00849607258009874,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-07,0.01817687038875121,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-08,0.007014807517878502,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-09,-0.002810010598541246,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-10,-0.0038603091933133438,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-11,-0.004030607788085561,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-12,-0.0023935800244912764,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-13,-0.024624333719650005,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-14,-0.021097771197786247,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-15,-0.012456304730214529,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-16,0.00018321308684729476,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-17,0.004232914492075079,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-18,0.005452615897302865,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-19,-0.009876922077085959,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-20,-0.0030381531450679455,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-21,-0.0004506133925407385,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-22,0.004169167352248815,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-23,-0.0010360501387375598,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-24,-0.0012563487335097712,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-25,-0.0010166473282819666,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-26,0.003429717668496368,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-27,0.006315146044701209,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-28,-0.004386583966569713,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-29,-0.002497304052200139,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-30,0.00989488316752174,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-31,0.009304584572749547,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-01,0.009164285977977416,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-02,-0.0016152552220645433,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-03,-0.007573334040667068,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-04,0.001911391164336168,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-05,-0.0025731440743697598,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-06,-0.011202086410293716,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-07,-0.010792385005065908,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-08,-0.0104826835998382,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-09,-0.020239210209926917,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-10,-0.024690642342626606,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-11,-0.017571674736304943,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-12,-0.013382616689592203,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-13,-0.03582259457407133,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-14,-0.028952893168843502,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-15,-0.02690319176361572,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-16,-0.030018351067592652,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-17,-0.054577726694367584,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-18,-0.0529162543121956,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-19,-0.08707955693238986,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-20,-0.04060400081785159,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-21,-0.023224299412623745,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-22,-0.018894598007396013,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-23,-0.015140005744686186,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-24,0.05398959502353734,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-25,0.04671874775030013,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-26,0.042763061590968876,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-27,0.05500562612253243,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-28,0.05283532752776032,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-29,0.05263502893298813,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-06-30,0.04682936959215733,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-01,0.04962631872831333,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-02,0.0395654343103366,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-03,0.030724216191027026,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-04,0.022886161972257457,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-05,0.02267586337748531,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-06,0.022855564782713167,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-07,-0.009336731599410425,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-08,-0.024581167412145555,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-09,-0.029016061349664363,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-10,-0.027274036856747508,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-11,0.017150718481433652,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-12,0.018160419886661394,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-13,0.018830121291889268,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-14,0.02614641994759942,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-15,0.025742331302490595,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-16,0.03235739058378784,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-17,0.0179148696352866,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-18,0.006453217451187737,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-19,0.007942918856415515,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-20,0.008492620261643352,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-21,0.006141062544692544,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-07-22,0.02080405264943505,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-02
