date,residual,phase,metodo,evento,carburante,break_date
2022-01-28,0.017779364865172287,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-29,0.02489664859265009,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-30,-0.009807557007529194,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-31,-0.013546677551209807,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-01,-0.010342806824468337,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-02,-0.011844181571966872,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-03,-0.016484701344498864,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-04,-0.014777417617021088,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-05,-0.010590133889543385,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-06,-0.0030419987083897815,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-07,0.0015477637800601352,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-08,-0.0012511453828988328,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-09,-0.00010011282697119928,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-10,-0.008542975676208847,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-11,-0.006645691948731158,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-12,-0.004488408221253348,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-13,-0.009930957605945007,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-14,0.00036791690808057886,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-15,-0.0007302685311881552,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-16,0.010548435108832105,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-17,0.015516251181546814,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-18,0.018233534909024546,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-19,0.020170818636502247,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-20,0.01598866336694893,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-21,0.013515947094426745,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-22,0.013326037870024676,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-23,0.01634143225606638,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-24,0.018017351733545656,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-25,0.023524635461023347,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-26,0.03196191918850111,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-27,0.0038558220784878083,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-28,-0.02502463070061306,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-01,-0.06741845583720257,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-02,-0.05847270550388131,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-03,-0.10524173708331241,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-04,-0.08252445335583469,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-05,-0.03955716962835684,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-06,-0.0512958578236275,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-07,-0.08599198880224782,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-08,0.01733149848723256,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-09,0.10725239065963688,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-10,0.15013489069791677,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-11,0.1724821744253943,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-12,0.1834294581528722,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-13,0.2018458842970758,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-14,0.18492641979483693,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-17,0.1682032023839401,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-18,0.1814404861114179,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-19,0.14640776983889567,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-20,0.1300317167884829,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-21,0.12989142077731608,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-22,0.10964409369331987,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-23,-0.09461921820428515,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-24,-0.1563169459073916,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-25,-0.1548596621799138,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-26,-0.15346237845243604,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-27,-0.1493343691308013,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-28,0.14524794743136163,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-29,0.14575501144166264,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-30,0.15622190745560935,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-31,0.15637042109593655,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-01,0.15007770482341432,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-02,0.14221498855089212,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-03,0.12422672889946701,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-04,0.1371228488748945,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-09
