date,residual,phase,metodo,evento,carburante,break_date
2022-01-30,-0.04907204749684535,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-01-31,-0.04520902368799401,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-01,-0.03824089104351369,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-02,-0.02844299523906718,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-03,-0.03581518213443524,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-04,-0.04904067078732993,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-05,-0.04278823269656218,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-06,-0.03934579460579443,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-07,-0.04057804196077655,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-08,-0.005428527834002467,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-09,-0.01270589655494564,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-10,-0.008739573170540638,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-11,-0.003478077020667103,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-12,0.00047436107010068174,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-13,0.0033867991608684256,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-14,-0.009552746953377378,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-15,0.008969443421619705,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-16,0.004704844066317521,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-17,0.03141972928948025,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-18,0.033921776609372206,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-19,0.037614214700140064,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-20,0.04030665279090778,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-21,0.028542655055441513,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-11
