date,residual,phase,metodo,evento,carburante,break_date
2026-01-17,-0.0006039582284493306,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-18,-0.005433423907280854,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-19,-0.005250001489330469,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-20,-0.00580078429098646,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-21,-0.004827361873036007,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-22,-0.00017721963659539375,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-23,0.0022762027813550967,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-24,0.0031696251993054148,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-25,0.009718120371316141,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-26,0.008168505955190697,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-27,0.009721987778224084,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-28,0.013632215165235384,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-29,-0.012437068505401216,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-30,-0.010403646087450868,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-01-31,-0.009940223669500425,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-01,0.004199100186560778,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-02,-0.004527694838243557,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-03,-0.014415566202729435,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-04,-0.014902143784778998,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-05,-0.012250050103031263,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-06,-0.01213662768508078,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-07,-0.012153205267130374,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-08,-0.01700359718857397,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-09,-0.01609984724802821,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-10,-0.013973004243904352,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-11,-0.00598526930259724,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-12,-0.004881846884646823,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-13,-0.0032284244666963557,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-14,-0.0032450020487458375,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-15,-0.0025765609860246563,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-16,-0.0031231385680741686,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-17,-0.009464430924339962,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-18,-0.013296115048217427,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-19,-0.014962050032243268,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-20,-0.011268627614292759,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-21,-0.006625205196342354,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-22,-0.004852322547421184,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-23,-0.004141154777248746,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-24,-0.002498395275503662,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-25,-0.00018318201182526694,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-26,-0.0189575808887667,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-27,-0.017834158470816264,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-02-28,-0.01629073605286574,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-01,-0.03924386352174253,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-02,-0.06452245230703801,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-03,-0.05304061404988469,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-04,-0.05196256031524854,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-05,-0.03214913789729812,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-06,-0.012735715479347653,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-07,0.0017377069386027566,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-08,-0.03667143755215141,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-09,-0.018228756973249383,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-10,-0.018512426564470608,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-11,-0.03760951986898514,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-12,-0.04487786439363228,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-13,-0.03718444197568188,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-14,-0.024321019557731527,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-15,-0.02099129968532598,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-16,-0.0480718039490699,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-17,-0.034280043436677454,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-18,-0.02680328180141983,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-19,-0.018016430250024307,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-20,-0.16793300783207388,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-21,-0.18836958541412346,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-22,-0.15919008648605937,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-23,0.048330763974935464,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-24,0.07172471122970381,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-25,0.07436112777803466,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-26,0.07017587516625295,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-27,0.07082929758420342,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-28,0.07217272000215386,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-29,0.06887717638465984,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-30,0.020152489576224786,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
2026-03-31,0.04552501439878287,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-26
