date,residual,phase,metodo,evento,carburante,break_date
2026-01-21,-0.008749507592012151,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-22,0.0033583826690906926,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-23,0.007837679083947141,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-24,0.009369182045367741,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-25,0.00965068500678834,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-26,0.008648960818760959,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-27,0.008933119602613199,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-28,0.0034489553884068935,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-29,-0.009014387197459173,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-30,-0.03134913725697083,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-01-31,-0.025057634295550274,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-01,-0.024216131334129642,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-02,0.011009736850368712,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-03,0.014210939145020779,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-04,0.013182239853223976,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-05,0.013166677195992627,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-06,0.004937761011111624,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-07,0.005189263972532138,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-08,0.005140766933952712,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-09,0.0059803619940339,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-10,0.016482486003942226,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-11,0.006244700155375454,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-12,0.00671313796873807,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-13,0.026382647348670796,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-14,0.026714150310091417,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-15,0.026695653271511938,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-16,0.02122685001371638,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-17,0.02530020753322726,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-18,0.006041734896715306,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-19,-0.017350302390958167,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-20,-0.018065568589505254,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-21,-0.013154065628084743,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-22,-0.012052562666664074,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-23,-0.019731403302056,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-24,-0.006851698704239462,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
2026-02-25,-0.0025704705585069543,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-02
