date,residual,phase,metodo,evento,carburante,break_date
2025-05-11,-0.0079549555586505,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-12,-0.009857508079458621,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-13,-0.00719426490843475,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-14,0.0010396505977321446,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-15,0.00499098514642346,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-16,0.0009542283174472921,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-17,0.00022747148847104826,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-18,0.0013246039682337507,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-19,0.012989175116266016,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-20,0.013727816869524762,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-21,0.015843762429026964,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-22,0.01774510034412921,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-23,0.01693834351515311,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-24,0.016041586686176862,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-25,0.016745946428388503,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-26,0.0164191895994123,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-27,0.016417890122950668,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-28,0.013596836074078467,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-29,0.016151005047633088,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-30,0.01498424821865696,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-05-31,0.013687491389680756,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-01,0.006677582853921504,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-02,0.0020937335054167505,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-03,0.0005469766764405748,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-04,0.0024899226242847683,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-05,0.0018416408057728428,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-06,0.000794883976796612,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-07,0.00012812714782042822,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-08,-0.0004686296811557411,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-09,-0.0032529118277692115,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-10,-0.013329678381177629,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-11,-0.009669405911039652,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-12,-0.009486162740015819,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-13,-0.008332919568991959,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-14,-0.0026796763979681504,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-15,-0.0048451795272987375,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-16,-0.012445094631373249,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-17,-0.009228090257512173,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-18,-0.010127876843155359,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-19,-0.003184633672131537,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-20,0.006358609498892331,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-21,0.014001852669916076,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-22,0.02217405557854052,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-23,0.01566729874956438,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-24,0.028632454811874958,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-25,0.029197177941119035,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-26,0.031164906530042197,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-27,0.029258149701065994,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-28,0.026281392872089776,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-29,0.04739151429848948,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-06-30,0.037916429624131526,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-01,0.034669672795155315,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-02,0.02750734101809632,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-03,0.01727806076777552,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-04,0.014591303938799316,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-05,0.012864547109823182,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-06,0.011977790280847,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-07,0.009113821889997625,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-08,0.007807065061021468,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-09,0.011920429255230403,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-10,0.00750985538679011,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-11,0.007523098557813912,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-12,0.006606341728837728,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-13,0.0069683572177982045,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-14,0.0074551966550621684,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-15,0.008307299810281998,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-16,0.0022921026192126437,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-17,0.0035577292961033735,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-18,0.0019609724671271755,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-19,0.001364215638151034,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-20,0.002006589302218753,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-21,0.0017598324732425175,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
2025-07-22,0.004372973185059137,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-20
