date,residual,phase,metodo,evento,carburante,break_date
2025-04-23,0.00141815672615897,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-24,-0.004829331544570187,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-25,-0.010023483688038737,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-26,-0.010524132381425688,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-27,-0.010794781074812604,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-28,-0.0057246453088757865,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-29,0.0008284965392373611,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-04-30,0.006411607842387423,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-01,0.013202146970884204,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-02,0.015331553711198598,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-03,0.01410090501781161,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-04,0.013490256324424577,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-05,0.0241427079596698,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-06,0.004755516401368787,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-07,0.014375964111406514,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-08,0.0031535511419190365,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-09,-0.006731617073115481,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-10,-0.007842265766502349,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-11,-0.008072914459889335,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-12,-0.006496236794909821,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-13,-0.02878734058868332,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-14,-0.02532112816543433,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-15,-0.016740011796477383,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-16,-0.004160844078030329,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
2025-05-17,-0.00017149277141731423,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-02
