date,residual,phase,metodo,evento,carburante,break_date
2022-01-28,0.004860332443596738,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-29,0.012155465367019697,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-30,-0.022370891037214374,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-01-31,-0.025932162384949803,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-01,-0.02255044246226315,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-02,-0.023873968013816527,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-03,-0.028336638590403307,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-04,-0.026451505666980346,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-05,-0.02208637274355746,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-06,-0.014360388366458643,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-07,-0.009592776682063542,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-08,-0.012213836649077353,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-09,-0.010884954897204507,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-10,-0.01914996855049697,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-11,-0.017074835627074098,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-12,-0.014739702703651075,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-13,-0.020004402892397577,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-14,-0.009527679182426807,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-15,-0.010448015425750357,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-16,0.0010085374102151157,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-17,0.006154202678875009,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-18,0.009049335602297925,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-19,0.011164468525720811,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-20,0.007160162452112678,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-21,0.004865295375535678,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-22,0.004853235347078794,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-23,0.008046478929065709,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-24,0.009900247602490142,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-25,0.015585380525913017,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-26,0.024200513449335992,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-27,-0.0037277344647321242,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-02-28,-0.03243033804788781,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-01,-0.07464631398853211,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-02,-0.06552271445926569,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-03,-0.11211389684275161,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-04,-0.08921876391932868,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-05,-0.04607363099590564,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-06,-0.057634469995231113,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-07,-0.09215275177790627,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-08,0.011348584707519316,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-09,0.10144732607586882,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-10,0.1445076753100939,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-11,0.16703280823351663,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-12,0.1781579411569397,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-13,0.1967522164970885,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-14,0.1800106011907948,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-17,0.1638209313677335,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-18,0.17723606429115651,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-19,0.14238119721457948,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-20,0.1261829933601119,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-21,0.1262205465448903,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-22,0.10615106865683926,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-23,-0.0979343940448206,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-24,-0.15945427255198183,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-25,-0.15781913962855884,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-26,-0.1562440067051359,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-27,-0.151938148187556,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-28,0.14282201757055213,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-29,0.14350693077679832,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-30,0.15415167598669022,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-03-31,0.15447803882296263,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-01,0.14836317174638558,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-02,0.14067830466980857,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-03,0.12286789421432862,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
2022-04-04,0.13594186338570133,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-09
