date,residual,phase,metodo,evento,carburante,break_date
2022-01-30,-0.012169762529017747,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-01-31,-0.01002239484024578,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-01,-0.004769918315844834,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-02,0.003312321368522303,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-03,-0.00577552164692513,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-04,-0.020716666419899193,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-05,-0.016179884449210813,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-06,-0.014453102478522412,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-07,-0.017401005953583903,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-08,0.016032852053110808,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-09,0.00703982721208829,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-10,0.009290494476413919,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-11,0.01283633450620808,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-12,0.015073116476896492,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-13,0.016269898447584863,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-14,0.0016146962132596865,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-15,0.018421230468177396,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-16,0.012440974992795867,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-17,0.037440204095879226,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
2022-02-18,0.038226595295691806,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-11
