date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,-0.0027378831307021123,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-24,-0.0010750485526949682,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-25,0.006242858779372529,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-26,0.005462656523303855,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-27,0.007785550506394012,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-28,0.012465190053462083,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-29,-0.012834681457117747,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-30,-0.010031846879110573,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-31,-0.00879901230110336,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-01,0.006109723715014614,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-02,-0.0018476591497329498,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-03,-0.010966118354162113,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-04,-0.01068328377615485,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-05,-0.007261777934350344,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-06,-0.006378943356343092,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-07,-0.005626108778335914,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-08,-0.009707088539722741,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-09,-0.00803392643912021,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-10,-0.005137671274939581,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-11,0.0036194758264243565,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-12,0.005492310404431544,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-13,0.007915144982438782,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-14,0.00866797956044607,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-15,0.010105832783224022,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-16,0.01032866736123128,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-17,0.004756787165022314,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-18,0.0016945152012016185,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-19,0.0007979923772325481,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-20,0.005260826955239828,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-21,0.010673661533247003,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-22,0.013215956342224944,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-23,0.014696536272454153,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-24,0.017108707934256007,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-25,0.020193333357991172,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-26,0.002188346641106509,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-27,0.0040811812191137165,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-28,0.006394015797121011,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-01,-0.015789699511699007,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-02,-0.04029887613693767,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-03,-0.028047625719727576,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-04,-0.026200159825034652,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-05,-0.00561732524702746,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-06,0.014565509330979776,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-07,0.029808343908986956,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-08,-0.007831388421710384,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-09,0.011380704317248413,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-10,0.011866446886083959,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-11,-0.006461234258373805,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-12,-0.012960166622964175,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-13,-0.004497332044957003,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-14,0.00913550253305015,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-15,0.013234634565512465,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-16,-0.013076457538174685,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-17,0.0014847151342745335,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-18,0.009730888929588899,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-19,0.019287152641041194,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-20,-0.12986001278095155,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-21,-0.14952717820294437,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-22,-0.1195782671148235,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-23,0.0887119955062281,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-24,0.11287535492105322,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-25,0.11628118362944084,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-26,0.11286534317771596,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-27,0.1142881777557232,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-28,0.1164010123337304,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-29,0.11387488087629313,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-30,0.06591960622791485,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-31,0.0920615432105297,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-04
