date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,-0.010016373718654714,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-24,-0.007320914306979981,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-25,-0.005875454895305249,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-26,-0.005713222633078496,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-27,-0.004265107398972123,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-28,-0.008585315162924295,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-29,-0.019884701298536228,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-30,-0.041055494907793755,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-31,-0.03360003549611906,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-01,-0.0315945760844443,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-02,0.00479524855030819,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-03,0.00916040729521439,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-04,0.009295664453671693,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-05,0.010444058246694504,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-06,0.0033790985120676076,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-07,0.004794557923742282,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-08,0.005910017335416962,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-09,0.007913568845752311,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-10,0.019579649305914743,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-11,0.010505819907602132,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-12,0.012138214171218853,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-13,0.03297168000140574,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-14,0.034467139413080466,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-15,0.03561259882475515,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-16,0.0313077520172137,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-17,0.036545065986978736,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-18,0.01845054980072089,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-19,-0.0037775310366984227,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-20,-0.003328840784991405,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-21,0.002746618626683267,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-22,0.005012078038358042,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-23,-0.0015028061467797227,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-24,0.012540854901290921,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-25,0.01798603949727759,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-26,0.007245492801834813,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-27,0.009457604115600815,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-28,0.01441306352727556,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-01,0.016748522938950267,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-02,-0.08252163339832772,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-03,-0.11437935776942548,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-04,-0.04068619474398599,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-05,-0.05441788143234355,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-06,-0.02809055753161574,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-07,0.012854901880058861,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-08,0.027290361291733567,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-09,-0.07836728830558992,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-10,0.062142156359515394,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-11,0.04053518217498267,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-12,0.039749559025863135,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-13,0.025283725847538185,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-14,0.044799185259212976,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-15,0.051274644670887576,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-16,-0.0016540572568601863,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-17,0.017645762258665654,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-18,-0.030313281247216634,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-19,-0.06678738552495764,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-20,-0.21414233134550026,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-21,-0.22476687193382566,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-22,-0.21252141252215087,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-23,0.04061451091679866,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-24,0.0751773808216839,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-25,0.17388565724828997,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-26,0.0630065754109114,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-27,0.038198553866200885,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-28,0.04652401327787564,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-29,0.050499472689550295,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-30,0.029161619614876705,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-31,0.06444740815405123,post,v1_naive,Hormuz (Feb 2026),gasolio,2026-03-04
