date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.005107594806580074,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.0069357320706878445,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.00801386933479556,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.015173475713429307,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.016847408669368985,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,-0.01395554593347667,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,-0.005493010862441361,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,-0.0013130567488816025,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.005121194012989355,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,-0.005619331277097184,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,-0.004293579232466038,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.00759961148043467,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.008566872798561831,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.010911437922932476,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.013041395402903139,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.01246325813879548,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.011795120874687648,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.012728100181767704,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.01262996291765997,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.012857283006066755,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.01026484852206297,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.013047637060486034,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.01210949979637832,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.01104136253227056,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.004260073561379724,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-9.515622225658715e-05,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.0014132934863643198,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.0007582720263482889,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,0.00033860977270477877,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,-0.000479527491403009,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,-0.0009176647555107775,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,-0.0012858020196185038,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.003841464601363531,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.013689611589903533,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-11,-0.009800719554897114,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-12,-0.009388856819004865,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-13,-0.00800699408311259,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-14,-0.002125131347220338,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-15,-0.00406201491168251,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-16,-0.011433310450888579,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-17,-0.007987686512159059,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-18,-0.00865885353293383,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-19,-0.0014869907970415652,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-20,0.008284871938850719,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-21,0.016156734674742906,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-22,0.024557557148235765,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-23,0.01827941988412804,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-24,0.03147319551130709,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-25,0.03226653820541958,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-26,0.03446288635921116,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-27,0.0327847490951034,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-28,0.030036611830995597,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-29,0.05137535282226374,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-30,0.042128887712774205,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-01,0.03911075044866641,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-02,0.032177038236475886,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-03,0.0221763775510235,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-04,0.01971824028691571,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-05,0.01822010302280802,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-06,0.017561965758700254,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-07,0.014926616932719322,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-08,0.01384847966861158,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-09,0.018190463427688958,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-10,0.01400850912411708,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-11,0.014250371860009325,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-12,0.013562234595901584,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-13,0.014152869649730476,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-14,0.014868328651862883,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-15,0.01594905137195113,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-16,0.010162473745750217,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-17,0.011656719987509334,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-18,0.010288582723401607,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-19,0.009920445459293853,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-20,0.010791438688230015,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-21,0.01077330142412225,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-22,0.013615061700807257,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
