date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.009047568860294675,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.00845534432602335,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,-0.006055793433385526,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.027524023999500713,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.023234938348593387,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.013830948751978128,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.0004289078058727358,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.00438331672839859,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.006365541262669916,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.008201473582675367,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.0006001815216138129,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.002749881359956935,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.008132185233790057,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,0.003689490871847223,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0042317154061185525,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.005233939940389926,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.010442828066211801,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.014090779571460182,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,0.00415157268923283,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.006803375732645944,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.019958086081411364,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.02013031061568274,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.02075253514995415,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,0.01073551707895573,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,0.005539961389396775,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.01578720972344355,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,0.012065197613781165,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,0.004198778406900777,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.005371002941172126,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.006443227475443375,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.0025507760056017736,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.006239685009257923,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,0.0016418057261072816,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.0065933869018635904,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.015084067853571997,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,-0.007451843319300627,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,-0.004639618785029276,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.006992254959962696,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
