date,residual,phase,metodo,evento,carburante,break_date
2022-01-23,0.006880928718971724,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-24,0.0011108508024166852,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-25,0.0018007745747082027,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-26,0.00391362007347687,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-27,0.004003168039553862,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-28,0.009377900397234351,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-29,0.01718263275491491,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-30,-0.016834124215061586,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-31,-0.019885796128539468,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-01,-0.01599447677159524,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-02,-0.016808402888891044,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-03,-0.02076147403122025,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-04,-0.018366741673539716,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-05,-0.013492009315859282,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-06,-0.005256425504502893,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-07,2.0785614149754217e-05,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-08,-0.0020906749186064555,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-09,-0.00025219373247603594,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-10,-0.008007607951510953,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-11,-0.005422875593830506,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-12,-0.002578143236149938,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-13,-0.007333243990638838,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-14,0.003653079153589478,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-15,0.0032423423445235022,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-16,0.015208494614746548,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-17,0.020863759317663988,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-18,0.024268491675344478,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-19,0.026893224033024937,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-20,0.02339851739367438,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-21,0.02161324975135495,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-22,0.022110789157155614,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-23,0.025813632173400103,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-24,0.02817700028108211,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-04
