date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,-0.0002889972545805364,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-25,-0.0032661149738574813,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-26,-0.020547681084117753,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-27,-0.021977045195710698,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-28,-0.03043954483295866,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-29,-0.022212770563866918,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-30,-0.019095996294775125,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-31,-0.01607863630759987,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-01,-0.009956167484795608,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-02,-0.001003935502025155,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-03,-0.009221786219069272,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-04,-0.02329293869364002,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-05,-0.01788616442454835,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-06,-0.015289390155456634,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-07,-0.01736730133211481,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-08,0.01693654897298319,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-09,0.008813516430363988,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-10,0.011934175993092933,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-11,0.01635000832129041,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-12,0.01945678259038211,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-13,0.021523556859473797,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-14,0.007738346923551936,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-15,0.025414873476872962,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-16,0.02030461029989472,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-17,0.046173831701381396,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-18,0.04783021519959729,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-19,0.05067698946868909,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-20,0.052523763737780754,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-21,0.03991410218063843,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-22,0.033747292653518474,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-23,0.04193893578211973,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-24,-0.0010367333368972859,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-25,0.03970150776073722,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-26,0.049508282029828876,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-27,0.053585056298920616,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-28,0.01825134672944144,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-01,-0.03381046406501145,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-02,-0.09096693987182855,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-03,-0.11376690095629553,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-04,-0.154818234861409,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-05,-0.10197146059231726,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-06,-0.07840468632322552,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-07,-0.1911071160085565,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-08,-0.2911257129838305,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-09,-0.21212329607214472,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-10,-0.09948857290579487,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-11,0.319671697541688,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-12,0.33182847181077985,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-13,0.3364352460798715,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-14,0.3108437247606663,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-17,0.25015918198972653,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-18,0.2656690098719714,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-19,0.2222157841410633,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-20,0.21538255841015486,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-21,0.13508437069356022,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-22,0.10839669397574835,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-23,-0.1476949611650033,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-24,-0.20414517348276376,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-25,-0.1666256004737334,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-26,-0.16009882620464172,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-27,-0.16137205193554993,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-28,0.18370278393096312,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-29,0.24174517553750297,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-30,0.22777953802562118,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-31,0.24469607754678122,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-01,0.20985277418008244,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-02,0.20193954844917425,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-03,0.1961763227182659,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-04,0.16746699269646764,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-03-05
