date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,0.017934678005725957,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-24,0.002467825928606282,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-25,0.008200408217961586,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-26,0.0006836266262996715,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-27,0.003646578780388432,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-28,0.006139639509264716,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-29,-0.02349359057489603,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-30,0.0022844792797681035,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-31,0.0008935530337253472,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-01,0.014608654696582901,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-02,-0.0069998584822864585,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-03,-0.008940504118194803,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-04,-0.00042222157167559615,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-05,0.0026710130679833965,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-06,0.00036653385947338357,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-07,0.000244552087262484,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-08,-0.004592825908926734,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-09,0.000727100913338441,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-10,0.0020286236058632556,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-11,0.008076912269671943,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-12,0.001902151657382667,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-13,0.002548370390852317,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-14,0.0010235894052554317,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-15,0.0017050443932309367,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-16,0.0005474913753714117,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-17,-0.00529800550817594,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-18,-0.003355438752148665,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-19,-0.001533146527894158,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-20,0.0036757036244567387,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-21,0.004952669135413312,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-22,0.0024937317262259118,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-23,0.0015878787434766561,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-24,0.0025807426849940307,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-25,0.0033974654869856624,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-26,-0.01748796775312217,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-27,0.0007351289519723636,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-28,0.0012531295138396015,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-01,-0.023108001414771373,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-02,-0.0274804761845327,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-03,0.007025758754019451,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-04,-0.0023571792318168028,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-05,0.014324973265805563,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-06,0.030884008310182842,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-07,0.042755258042084715,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-08,0.0019736853881808236,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-09,0.018253214061077272,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-10,0.01599702410209869,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-11,-0.00489894166634125,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-12,-0.013807981289393312,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-13,-0.0076111688504143515,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-14,0.003886891960124428,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-15,0.005970805492898967,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-16,-0.022246601191255988,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-17,-0.009492541584848191,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-18,-0.0029631173449233827,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-19,0.004958709708322018,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-20,-0.14574791284757938,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-21,-0.16690623591146414,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-22,-0.13838626787193936,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-23,0.06853172350735814,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-24,0.0913744345155324,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-25,0.0935066385006949,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-26,0.08886000760244633,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-27,0.08909106984410042,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-28,0.09004767401708891,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-29,0.08639768760483962,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-30,0.03734804907702777,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-31,0.06242248585380833,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-04
