date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.008093688504128754,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.0022732469062012595,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.0014876199231192988,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.00786204012550401,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.0014695033469394603,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,0.0010811411010639704,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.006343081304260811,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.0017181829961092077,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.004354225172290865,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,0.00022143547247549522,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.0007056430229094302,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.011346886575048482,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,-0.0010032976797064164,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.004071821538203735,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.002753335259415818,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.0007419074025089845,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.0011860561914014967,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.002606820830142992,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.0013292478274792296,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.0020428502958162453,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,-0.0009150548221342203,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.004996757089556991,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,-9.036997884931397e-06,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.0012038067961396837,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,-0.0049628975939265685,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.0016402708973619617,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-9.820688382961018e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.0028104533155287603,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,-0.0002879011336513748,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,0.00017984077821742162,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,0.00035275679408730554,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,0.00035064092408057523,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.001849600627857717,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.008817356103291402,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-11,0.005636868314227855,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-12,-0.0014215618078619319,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-13,0.001658357834432661,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-14,0.005497035132791983,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-15,-0.0026006352428953328,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-16,-0.005940702917918678,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-17,-0.007987686512159059,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-18,-0.00865885353293383,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-19,-0.0014869907970415652,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-20,0.008284871938850719,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-21,0.016156734674742906,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-22,0.024557557148235765,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-23,0.018279419884128068,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-24,0.03147319551130709,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-25,0.03226653820541958,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-26,0.03446288635921119,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-27,0.0327847490951034,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-28,0.030036611830995624,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
