date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,0.022657882461352197,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,0.0008302939716959279,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,0.0025970170122661396,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.02119488610318737,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,0.003100036844973786,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,0.008412599102675028,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,0.012937962844166095,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.005133132077522112,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.00253450653924997,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.01396575106016798,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,0.007184943934664706,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.003344843812370768,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.005514223370719579,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,-0.004042658954767714,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0005771575569496479,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.0009933317536140462,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.005185816408791261,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.003881819103701084,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,-0.0095490018820453,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.002322657016825075,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.01291770024363989,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
