date,residual,phase,metodo,evento,carburante,break_date
2022-01-23,0.2039681030444498,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-24,-0.00680481028006974,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-25,0.0005740348816774266,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-26,0.004013452272597029,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-27,-0.0008811480711477526,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-28,0.0039522397441065504,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-29,0.0068384832352886005,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-30,-0.03742999661685856,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-31,-0.004270330170030451,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-01,0.018155085621662487,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-02,-0.00032279293794193475,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-03,-0.006065914377358678,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-04,0.0025358126463742303,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-05,0.005866866890594208,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-06,0.0063226514191242755,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-07,0.002044384197990745,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-08,-0.0065521500993245,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-09,-0.0007664401270498777,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-10,-0.00750746191412105,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-11,0.0018860191150568417,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-12,0.005447469171431241,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-13,-0.00659230578553352,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-14,0.009625535154234144,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-04
