date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,0.16439932116476985,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-25,-0.004303892002513021,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-26,-0.017741692765015665,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-27,0.0011851854373316206,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-28,-0.003063554329400947,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-29,0.006867820445159628,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-30,0.0019917235645960096,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-31,-0.0018237897886697607,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-01,0.004180108852806702,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-02,0.007763047671355494,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-03,-0.012831615859646511,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-04,-0.016837150791452787,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-05,0.012976884350751047,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-06,0.0069390044599617895,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-07,-0.010675770943765872,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-08,0.0315526053466017,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-09,-0.009848527128574758,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-10,-0.011310293922684012,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-11,0.009642510753601702,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-12,0.005430659489793405,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-13,-0.004710042137083148,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-14,-0.0168511285453464,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-15,0.02144330585428103,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-16,-0.002209828268268016,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-17,0.014868973640491945,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-18,-0.0011807134118490548,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-19,-0.005247879455129001,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-20,0.001972143470398924,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-21,-0.011814125222996352,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-22,-0.006394965514865791,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-23,0.013498025016746462,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-24,-0.043616150055303005,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-25,0.040553033733782246,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-26,0.02198132410503187,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-27,-0.020024041103877566,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-28,-0.04353559399485887,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-01,-0.036546808815977716,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-02,-0.031816841757832295,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-03,-0.0015464078099376999,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-04,-0.027198643022595777,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-05,-0.10197146059231721,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-06,-0.07840468632322545,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-07,-0.19110711600855645,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-08,-0.2911257129838305,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-09,-0.21212329607214467,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-10,-0.0994885729057948,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-11,0.31967169754168806,post,v3_arima,Ucraina (Feb 2022),gasolio,2022-03-05
