metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,30,"(2, 1, 0)",0.4478,0.0,1.745,0.9979,10,352.1,0.489,-157.77,A,0.20519,6.1558,164.2,28.5,299.8,,-221.39,-216.4,0.24026,94.069,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,30,"(2, 1, 0)",0.4478,0.0,1.745,0.9979,10,352.1,0.489,-157.77,B,0.53413,16.024,428.3,351.7,504.9,,-339.28,-332.52,0.59061,743.957,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,30,"(2, 1, 0)",0.4478,0.0,1.745,0.9979,10,352.1,0.489,-157.77,C,0.09426,2.8279,75.6,36.1,115.2,,-178.79,-175.41,0.15511,216.009,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,30,"(2, 1, 0)",0.4478,0.0,1.745,0.9979,10,352.1,0.489,-157.77,S,0.43912,13.1737,352.1,171.1,533.2,,-157.77,-154.97,0.489,566.851,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.5492,0.0,15.342,0.1201
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1359.7,0.68869,-125.62,A,0.23207,6.7301,529.0,55.8,1002.2,,-194.04,-189.05,0.30575,154.626,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1359.7,0.68869,-125.62,B,0.71801,20.8223,1635.4,1322.3,1948.5,,-309.14,-302.39,0.81241,536.565,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1359.7,0.68869,-125.62,C,0.07946,2.3045,180.7,-18.1,379.5,,-133.61,-130.23,0.21666,208.192,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1359.7,0.68869,-125.62,S,0.59702,17.3136,1359.7,676.6,2042.7,,-125.62,-122.82,0.68869,418.951,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.7787,0.0,8.776,0.5535
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,36,"(1, 0, 1)",0.9613,0.1854,0.95,0.9999,10,69.7,0.05523,-228.69,A,0.03193,1.1495,41.9,18.8,65.0,,-323.15,-316.4,0.03409,12.007,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,36,"(1, 0, 1)",0.9613,0.1854,0.95,0.9999,10,69.7,0.05523,-228.69,B,0.03287,1.1832,43.2,0.5,85.8,,-434.47,-427.71,0.03517,12.356,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
