date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,0.2862587331404207,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-24,0.0008699999999999819,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-25,0.005655072754126744,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-26,-0.005270569731523955,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-27,-0.0004106172552569287,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-28,0.0020487831715117477,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-29,-0.028340485169740248,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-30,0.0044856486410696506,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-31,0.002274842055041304,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-01,0.01566638595973957,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-02,-0.008940457069195662,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-03,-0.009207480140466517,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-04,0.0010308693985059958,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-05,0.004083634629688304,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-06,0.001230831460190207,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-07,0.0010129124258961286,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-08,-0.003888431344948262,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-09,0.0021087447358112965,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-10,0.003207790181199377,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-11,0.008890464290345623,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-12,0.0015382115520450879,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-13,0.0020112960520701217,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-14,0.0002455146203124703,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-15,0.0009193725779900186,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-16,-0.00033562146867727183,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-17,-0.006116351119442198,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-18,-0.003362069457018113,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-19,-0.0010669980575734872,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-20,0.004331881900718759,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-21,0.005127156450353554,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-22,0.002079798529701582,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-04
