date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,0.2244487748753053,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-24,0.001630000000000048,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-25,-0.0012499999994995403,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-26,-0.0018895258147305083,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-27,8.744106456093359e-05,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-28,-0.005707065540304729,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-29,-0.011172054728550901,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-30,-0.01829038072002165,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-31,0.014644027254943986,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-01,0.0058386643609172895,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-02,0.038907589002045495,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-03,-0.0017931812584904838,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-04,-0.005625717296875776,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-05,-0.003370690814919447,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-06,-0.010841689102076973,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-07,2.309587242024791e-05,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-08,-0.0002819790971638758,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-09,0.0006680411173562439,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-10,0.010183902335551664,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-11,-0.012791434920850636,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-12,0.0007222501456755348,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-13,0.019764813939247977,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-14,-0.003910662218846367,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-15,-0.003402474482694845,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-16,-0.008106126097619765,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-17,0.0032148623408656263,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-18,-0.020822440566330286,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-19,-0.020386724043693544,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-20,0.006763704373672158,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-21,0.010906253313255482,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-22,0.004702985352550343,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-23,-0.0051093801114480975,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-24,0.01657036613100335,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-25,0.004335692943310571,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-26,-0.012801461672367759,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-27,0.0029603456802858308,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-28,0.0050540763217193085,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-01,0.0013250111536176057,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-02,-0.10057136469594205,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-03,-0.011089579185522586,pre,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-04,0.0968948026229459,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-05,0.10636475554335562,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-06,0.15589371905285065,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-07,0.22004081807329254,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-08,0.2576779170937345,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-09,0.17522190710517827,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-10,0.3389329913790508,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-11,0.34052765680328534,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-12,0.3629436732629331,post,v5_causalimpact,Hormuz (Feb 2026),gasolio,2026-03-04
