date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,0.22274950485310036,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.0015600000000000058,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,0.0007499999999751872,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.0057074547967947975,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,0.0016973500112674733,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,0.005831038259287352,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.010198993615972263,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.004135621817661833,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.004482991996521218,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,-0.0005622090723022555,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.001331388520308896,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.011746434152135055,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,-0.00043562018365481125,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.0009856175917179744,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.0006764090965163394,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,-0.002093882926721441,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,-0.001998338265299049,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,-0.00022569488332302434,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,-0.001237962024484257,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,-0.0008115568216275071,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,-0.0035664771582166743,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.0020886496653865216,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,-0.001793696097841746,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,-0.0017868962378076725,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,-0.007365314654223465,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.004389393684182452,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.001027397053956297,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.0025377960897527974,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,-0.0002386917734856775,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,-0.0006198423285026511,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,-0.00019505855018700502,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,-0.00011102303700538663,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.0022905885060562625,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.009419362979744134,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
