date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,0.23105163622699615,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.0006299999881914931,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,0.0018073263464613853,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.02266460243204968,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,0.002868537392594267,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,0.01530909502799066,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,0.02305222160674067,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.016609411305520017,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.009417587694164231,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.011741489501897073,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.0014355088854053066,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.000741327024741778,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.00409475119369751,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,-0.003869268518688962,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,-0.0037423383508101427,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,-0.0029296739383990744,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.0020190933445072834,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.003525438478839793,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,-0.00934319253367355,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,-0.004427723546199774,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.009599213212023866,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.0050269818398883115,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.0021319954174905675,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,-0.010547477469303013,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,-0.013191734699345814,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.0015068214079127507,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,-0.0030142317171904243,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,-0.009876228227841816,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,-0.004570333777475899,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,-0.0008812532445524879,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.008482828581084817,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.007494591423879621,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,0.005272899809844356,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.010257313788366418,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.013888378101257537,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,0.0007435099697687131,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,0.005385490237914847,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,0.002841575727807799,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.020467439569890028,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,-0.007893584836590889,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.034956162050159695,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,0.015860733586184173,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,0.03758177451321762,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.04625281544025095,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.054348747224766375,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.1278196875147955,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.12489017976336389,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.12527583312583823,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.14185973717920738,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.14403077810624088,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.14817181903327428,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.14670749921424908,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.15384578787221068,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.14812624297603955,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.14362636437853557,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.1401296496815716,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.14426069060860505,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.1487817315356385,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
