date,residual,phase,metodo,evento,carburante,break_date
2022-01-23,0.2039681030444498,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-24,-0.0068048102692428725,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-25,0.006460001682891431,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-26,0.0049817298226812745,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-27,0.0010716825044024825,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-28,0.005546401260309225,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-29,0.006763963232077341,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-30,-0.03706599782261957,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-31,-0.0001939927417437537,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-01,0.011853926610035787,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-02,0.0050041613836233345,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-03,-0.0006752391168754202,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-04,0.0051103954292798515,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-05,0.006747622213756965,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-06,0.008173171772145521,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-07,0.0027942225201270376,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-08,-0.006225956506246827,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-09,-0.0015195072960122735,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-10,-0.009982049107830626,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-04
