date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,0.002404676208927925,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-24,0.0037854620430575747,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-25,0.010821320631247577,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-26,0.00975906963130141,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-27,0.011799914870514072,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-28,0.01619750567370465,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-29,-0.009384414580752676,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-30,-0.006863628746622996,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-31,-0.005912842912493277,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-01,0.008713844359747203,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-02,0.0004744127511221441,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-03,-0.008926095197184458,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-04,-0.008925309363054745,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-05,-0.005785852265127678,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-06,-0.00518506643099792,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-07,-0.004714280596868237,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-08,-0.009077309102132558,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-09,-0.00768619574540752,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-10,-0.005071989325104387,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-11,0.0034031090323820568,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-12,0.00499389486651175,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-13,0.007134680700641494,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-14,0.007605466534771288,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-15,0.008761271013671745,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-16,0.00870205684780151,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-17,0.002848127907715048,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-18,-0.0004961927999831417,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-19,-0.0016747643678297064,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-04
