date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,-0.00753744111252555,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-24,-0.005462138515333281,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-25,-0.004636835918140958,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-26,-0.00509476047039667,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-27,-0.004266802050772706,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-28,-0.009207166629207342,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-29,-0.02112670957930171,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-30,-0.042917660003041674,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-31,-0.03608235740584942,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-01,-0.03469705480865709,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-02,0.0010726130116129606,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-03,0.0048176149420366965,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-04,0.00433271528601159,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-05,0.004860952264551938,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-06,-0.002824164284557368,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-07,-0.0020288616873651577,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-08,-0.0015335590901729146,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-09,-0.0001501643943200015,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-10,0.010895759251359993,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-11,0.001201773038564946,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-12,0.0022140104876992306,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-13,0.022427319503403653,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-14,0.02330262210059597,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-15,0.02382792469778819,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-16,0.01890292107576433,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-17,0.023520078231046904,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-18,0.00480540523030662,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-19,-0.01804283242159513,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-20,-0.018214298984370547,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-03-04
