date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.007513070080342604,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.009299320798307587,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.01033557151627254,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.0174532913487635,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.01908533775856039,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,-0.016151588476525314,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,-0.007647166859347215,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,-0.003425326199644696,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.00719157691760966,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,-0.0076478276355747,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,-0.0062801890448007935,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.005654888214242704,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.006664036078512653,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.00905048774902606,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.01122233177513951,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.010686081057174612,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.010059830339209569,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.011034696192432414,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.010978445474467441,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.011247652109017015,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.008697104171156017,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.011521779255721842,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.010625528537756918,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.009599277819791918,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.0028598753950438427,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.0014534678424496794,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.0027297185604146512,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,-0.0005162665015592538,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,-0.0008940422090599753,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,-0.0016702929270250022,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,-0.002066543644989982,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,-0.0023927943629549475,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.004906570398557186,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.0147128308409544,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-11,-0.01078205225980522,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-12,-0.010328302977770182,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-13,-0.008904553695735118,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-14,-0.0029808044137001055,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-15,-0.004875801432019489,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-16,-0.012205210425082796,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-17,-0.008717699940210488,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-18,-0.00934698041484247,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-19,-0.002133231132807445,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-20,0.0076805181492276275,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-21,0.015594267431262576,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-22,0.024036976450898223,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-23,0.017800725732933287,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-24,0.031036387906255097,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-25,0.03187161714651038,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-26,0.034109851846444744,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-27,0.032473601128479745,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-28,0.02976735041051473,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-29,0.05114797794792564,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-30,0.04194339938457889,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-01,0.03896714866661388,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-02,0.03207532300056612,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-03,0.022116548861256524,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-04,0.019700298143291495,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-05,0.018244047425326565,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-06,0.017627796707361587,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-07,0.015034334427523416,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-08,0.013998083709558462,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-09,0.01838195401477863,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-10,0.014241886257349512,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-11,0.014525635539384546,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-12,0.013879384821419594,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-13,0.014511906421391246,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-14,0.015269251969666442,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-15,0.016391861235897448,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-16,0.010647170155839325,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-17,0.012183302943741231,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-18,0.010857052225776265,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-19,0.0105308015078113,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-20,0.01144368128289025,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-21,0.011467430564925246,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-22,0.014351077387753042,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
