date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.013516538545280787,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.013014178147667754,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,-0.01070449139168822,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.0322625860944617,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.02806336458021269,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.018749239120255723,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.005437062310808649,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,-0.0007147019131956145,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.001177658484417421,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.013479220497586153,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.005967792573182917,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,-0.0027075938282704604,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.002584845908904343,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,-0.001947712589696754,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,-0.0014953521920837154,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,-0.0005829917944706609,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.004536032194692924,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.008094119563283014,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,-0.001934951455602657,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.0006269874511521667,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.013691833663259295,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.013774194060872352,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.014306554458485471,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,0.004199672250828762,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,-0.0010857475753885126,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.009071636621999973,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,0.0052597603756792954,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,-0.0026965229678594105,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,-0.0016141625702463525,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,-0.0006318021726333944,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.009715669790336862,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.013494442930651301,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,-0.005702816331944388,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,-0.0008410992928463978,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.022608418184940277,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,-0.015066057787327197,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,-0.012343697389714164,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.014786197701305875,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.03867291433569556,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,-0.03633878296113832,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.06982942658894734,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,-0.022681211482023816,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,-0.004628851084410718,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.00037350931320226377,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.004800760568297341,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.07460302032890612,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.06800483204805416,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.06472180488110815,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.07763702840505696,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.0761393888026701,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.07661174920028316,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.07147874885183761,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.07494835698037886,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.06556013155478738,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.05739157242786305,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.05022617720147873,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.05068853759909184,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.05154089799670494,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-07,0.0200212606069666,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-08,0.005449483786616721,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-09,0.0016872488414831632,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-10,0.004101932326785268,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-11,0.04919934665735168,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-12,0.05088170705496467,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-13,0.052224067452577766,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-14,0.060213025100673195,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-15,0.06048159544794959,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-16,0.06776931372163211,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-17,0.05399945176551613,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-18,0.04321045857380251,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-19,0.04537281897141554,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-20,0.04659517936902863,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-21,0.04491628064446307,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-22,0.060251929741590826,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
