date,residual,phase,metodo,evento,carburante,break_date
2022-01-23,0.01996615474025773,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-24,0.013425923553508523,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-25,0.013345694055605872,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-26,0.0146883862841804,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-27,0.014007780980063195,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-28,0.018612360067549544,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-29,0.025646939155035936,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-30,-0.009139971085134757,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-31,-0.01296179626880678,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-01,-0.00984063018205672,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-02,-0.011424709569546693,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-03,-0.016147933982070067,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-04,-0.014523354894583729,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-05,-0.010418775807097436,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-06,-0.0029533452659352144,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-07,0.0015537125825232923,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-08,-0.0013279012204271134,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-09,-0.00025957330449086213,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-10,-0.008785140793719948,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-11,-0.006970561706233669,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-12,-0.004895982618747241,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-13,-0.010421236643430337,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-14,-0.00020506676939616164,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-15,-0.0013859568486563056,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-16,0.009810042151372544,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-17,0.014695153584095844,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-18,0.017329732671582165,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-19,0.019184311759068456,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-20,0.01491945184952373,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-21,0.012364030937010134,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-22,0.012091417072616628,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-23,0.015024106818666949,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-24,0.016617321656154815,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-25,0.02204190074364107,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-26,0.03039647983112745,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-27,0.002207678081122738,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-28,-0.026755479337969568,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-01,-0.06923200911455046,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-02,-0.06036896342122061,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-03,-0.10722069964064315,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-04,-0.08458612055315681,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-05,-0.04170154146567037,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-06,-0.05352293430093247,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-07,-0.08830176991954419,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-08,0.0149390127299448,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-09,0.10477720026235768,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-10,0.14757699566064617,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-11,0.1698415747481323,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-12,0.18070615383561878,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-13,0.19903987533983097,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-14,0.18203770619760068,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-17,0.16506637486672962,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-18,0.178220953954216,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-19,0.14310553304170237,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-20,0.1266467753512982,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-21,0.12642377470013996,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-22,0.10609374297615234,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-23,-0.09825227356144409,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-03-04
