date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,0.02033738207656241,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-25,0.015625977707082656,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-26,-0.003389875053380398,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-27,-0.006553525815176153,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-28,-0.01675031210262687,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-29,-0.010257824483737937,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-30,-0.008875336864848926,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-31,-0.007592263527876453,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-01,-0.0032040813552749736,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-02,0.004013863977292698,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-03,-0.0059382733899542295,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-04,-0.02174371251472776,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-05,-0.018071224895838872,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-06,-0.017208737276949937,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-07,-0.021020935103810923,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-08,0.011548628551084322,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-09,0.0016913093582623107,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-10,0.0030776822707884732,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-11,0.005759227948783141,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-12,0.007131715567672087,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-13,0.007464203186560964,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-14,-0.008055293399563679,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-15,0.007886946503554537,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-16,0.0010423966763735415,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-17,0.025177331427657407,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-18,0.02509942827567052,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-19,0.02621191589455954,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-20,0.02632440351344842,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-21,0.01198045530610331,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-22,0.004079359128780546,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-23,0.010536715607179031,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-24,-0.03417324016204079,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-25,0.004830714285390947,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-26,0.012903201904279793,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-27,0.015245689523168765,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-28,-0.021822306696513222,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-01,-0.07561840414116888,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-02,-0.1345091665981888,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-03,-0.15904341433285854,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-04,-0.2018290348881748,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-05,-0.15071654726928585,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-06,-0.12888405965039687,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-07,-0.2433207759859307,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-08,-0.34507365961140746,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-09,-0.26780552934992446,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-10,-0.15690509283377738,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-11,0.2605208909635027,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-12,0.27094337858239176,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-13,0.2738158662012806,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-14,0.24649005823187262,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-17,0.18060265551032445,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-18,0.1943781967423666,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-19,0.14919068436125568,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-20,0.14062317198014446,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-21,0.05859069761334704,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-22,0.030168734245332368,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-23,-0.22765720754562208,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-24,-0.2858417065135853,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-25,-0.2500564201547577,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-26,-0.24526393253586884,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-27,-0.24827144491697983,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-28,0.09506910429933041,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-29,0.15137720925566747,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-30,0.13567728509358287,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-31,0.15085953796454016,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-01,0.11428194794763857,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-02,0.1046344355665276,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-03,0.09713692318541647,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-04,0.06669330651341543,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-03-05
