date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,-0.0013897095086033984,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-24,-0.00020520601188656062,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-25,0.00663437023889063,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-26,0.005375836901531594,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-27,0.007220399803331445,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-28,0.011421708269109154,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-29,-0.014356494322760982,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-30,-0.012031990826044114,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-01-31,-0.011277487329327263,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-01,0.003152917605500405,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-02,-0.005282796340537466,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-03,-0.014879586626256935,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-04,-0.015075083129540034,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-05,-0.012131908369025834,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-06,-0.011727404872308889,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-07,-0.011452901375592017,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-08,-0.016012212218269206,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-09,-0.01481738119895698,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-10,-0.012399457116066714,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-11,-0.004120641095993083,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-12,-0.0027261375992762016,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-13,-0.0007816341025593254,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-14,-0.000507130605842343,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-15,0.0004523915356453023,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-16,0.00019689503236219874,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-17,-0.005853316245137075,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-18,-0.009393919290248132,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-19,-0.010768773195507508,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-20,-0.006784269698790535,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-21,-0.0018497662020737216,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-22,0.0002141975256139128,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-23,0.0012164463745528153,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-24,0.003150286955064363,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-25,0.005756581297509222,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-26,-0.012726736500665803,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-27,-0.011312233003948902,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-02-28,-0.009477729507231913,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-01,-0.03213977589734229,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-02,-0.05712728360387126,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-03,-0.04535436426795153,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-04,-0.04398522945454891,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-05,-0.023880725957832027,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-06,-0.004176222461115153,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-07,0.010588281035601721,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-08,-0.02752978237638598,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-09,-0.00879602071871749,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-10,-0.00878860923117225,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-11,-0.027594621456920376,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-12,-0.03457188490280105,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-13,-0.026587381406084187,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-14,-0.013432877909367369,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-15,-0.00981207695819536,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-16,-0.03660150014317287,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-17,-0.02251865855201396,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-18,-0.014750815837989872,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-19,-0.005672883207827939,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-20,-0.155298379711111,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-21,-0.17544387621439417,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-22,-0.1459732962075636,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-23,0.06183863533219769,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-24,0.08552366366573244,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-25,0.08845116129282976,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-26,0.08455698975981457,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-27,0.08550149325653145,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-28,0.08713599675324835,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-29,0.08413153421452074,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-30,0.03569792848485215,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
2026-03-31,0.0613615343861767,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-04
