date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,-0.0001650945622879152,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-24,0.0016669541503393503,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-25,0.0022490028629666148,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-26,0.0015478244261458995,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-27,0.0021325289612048326,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-28,-0.0030510895017948347,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-29,-0.015213886336454208,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-30,-0.0372480906447592,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-31,-0.030656041932131978,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-01,-0.02951399321950468,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-02,0.00601242071620034,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-03,0.009514168762059072,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-04,0.008786015221468935,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-05,0.00907099831544425,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-06,0.0011426278817699143,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-07,0.001694676594397121,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-08,0.0019467253070243329,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-09,0.003086866118312215,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-10,0.013889535879427206,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-11,0.0039522957820671,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-12,0.004721279346636381,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-13,0.0246913344777758,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-14,0.02532338319040306,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-15,0.025605431903030273,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-16,0.020437174396441382,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-17,0.024811077667158926,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-18,0.005853150781853639,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-19,-0.01723834075461314,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-20,-0.01765306120195359,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-21,-0.012441012489326386,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-22,-0.011038963776699051,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-23,-0.01841725866088431,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-24,-0.005237008311861108,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-25,-0.0006552344149219347,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-26,-0.012259191809412151,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-27,-0.010910491194693617,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-28,-0.006818442482066339,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-01,-0.005346393769439101,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-02,-0.10547996080576452,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-03,-0.13820109587590979,pre,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-04,-0.06537134354951774,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-05,-0.07996644093692273,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-06,-0.05450252773524242,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-07,-0.014420479022615257,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-08,-0.0008484303099880186,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-09,-0.10736949060635897,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-10,0.03227654335969887,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-11,0.00980615847611871,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-12,0.008157124627951678,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-13,-0.007172119249420711,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-14,0.011479929463206584,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-15,0.017091978175833744,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-16,-0.036700134450961486,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-17,-0.018263725634483113,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-18,-0.06708617983941287,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-19,-0.10442369481620131,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-20,-0.25264205133579143,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-21,-0.2641300026231643,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-22,-0.25274795391053695,post,v8_pymc,Hormuz (Feb 2026),gasolio,2026-03-04
