date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.003014320318771635,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.004814391278183061,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.005864462237594459,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.01299600231153189,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.014641868962775223,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,-0.01172193992218662,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,-0.003231338546454965,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.0009766818718011105,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.002803389087610325,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,-0.003273460047021809,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,-0.0019196416976943742,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.01000161531990268,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.010996942942726184,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.01336957437179312,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.015527598156460126,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.014977527197048757,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.01433745623763727,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.015298501849413643,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.015228430890002226,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.015483817283105356,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.012919449103797886,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.015730303946917268,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.014820232987505871,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.013780162028094428,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.0070269393618999365,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,0.0026997758829599428,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,0.001409704923548527,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.003609336740957453,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,0.0032177407920102874,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,0.0024276698325988166,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,0.002017598873187365,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,0.0016775279137759558,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.0008500683632727546,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.010670149047116412,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-11,-0.006753190707413703,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-12,-0.00631326166682511,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-13,-0.00490333262623649,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-14,0.0010065964143520512,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-15,-0.0009022208454137759,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-16,-0.008245450079923555,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-17,-0.004771759836497691,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-18,-0.005414860552576117,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-19,0.0017850684880124368,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-20,0.011584997528601065,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-21,0.019484926569189542,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-22,0.027913815347378745,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-23,0.021663744387967365,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-24,0.034885586319842704,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-25,0.03570699531865154,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-26,0.037931409777139435,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-27,0.03628133881772799,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-28,0.03356126785831651,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-29,0.05492807515428097,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-30,0.04570967634948778,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-01,0.0427196053900763,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-02,0.03581395948258209,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-03,0.025841365101826025,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-04,0.02341129414241458,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-05,0.021941223183003206,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-06,0.021311152223591756,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-07,0.01870386970230714,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-08,0.017653798742895715,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-09,0.022023848806669438,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-10,0.017869960807793878,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-11,0.01813988984838244,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-12,0.017479818888971044,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-07-13,0.018098520247496225,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
