date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.010812922026435134,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.010192647696304985,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,-0.0077650470078083345,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.029205227778064724,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.024888092331298628,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.015456052938824544,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.0020259621968603814,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.0028143121332697696,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.004824586463399894,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.009714378586086592,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.0020850367291662397,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.0012930759482633059,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.0067034296179552255,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,0.0022887850518711894,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0028590593820013166,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.0038893337121314875,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.009126271633812189,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.012802272934919368,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,0.002891115848550785,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.005570968687822725,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.018753728832446942,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.018954003162577115,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.019604277492707323,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,0.009615309217567702,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,0.004447803323867544,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.014723101453773146,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,0.011029139139969557,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,0.0031907697289479398,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.004391044059078114,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.005491318389208161,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.00347463529597819,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.007135494503775541,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,0.0007740460274484606,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.005753676999063567,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.015895727960513223,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,-0.008235453630383027,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,-0.005395179300252906,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.0077197656793275005,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.031488568381200094,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,-0.029036523074125742,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.06240925276941767,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,-0.01514312372997706,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,0.0030271506001531556,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.008147424930283226,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.01269259011789542,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.08261276381102128,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.07613248946268644,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.07296737622825752,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.08600051368472345,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.08462078801485368,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.08521106234498382,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.08019597592905539,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.08378349799011373,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.07451318649703936,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.06646254130263213,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.0594150600087649,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.05999533433889512,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.06096560866902534,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-07,0.029563885211804086,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-08,0.015110022323971295,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-09,0.011465701311354853,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-10,0.013998298729174047,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-11,0.05921362699225757,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-12,0.061013901322387654,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-13,0.06247417565251784,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-14,0.07058104723313038,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-15,0.0709675315129239,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-16,0.0783731637191235,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-17,0.06472121569552458,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-18,0.05405013643632808,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-19,0.0563304107664582,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-20,0.0576706850965884,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-21,0.05610970030453993,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-22,0.07156326333418478,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
