date,residual,phase,metodo,evento,carburante,break_date
2022-01-23,0.004211912588388628,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-24,-0.002375340253577024,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-25,-0.0025025914066961474,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-26,-0.0012069208333380932,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-27,-0.0019345477926717425,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-28,0.002623009639598134,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-29,0.009610567071868026,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-30,-0.025223364823519112,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-01-31,-0.029092211662407608,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-01,-0.02601806723087402,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-02,-0.027649168273580438,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-03,-0.032419414341320285,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-04,-0.03084185690905039,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-05,-0.02678429947678057,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-06,-0.01936589059083485,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-07,-0.014905854397592816,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-08,-0.017834489855759666,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-09,-0.016813183595039888,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-10,-0.025385772739485418,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-11,-0.023618215307215612,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-12,-0.021590657874945657,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-13,-0.027162933554845198,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-14,-0.016993785336027523,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-15,-0.01822169707050414,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-16,-0.007072719725691734,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-17,-0.0022346299481849075,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-18,0.0003529274840849417,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-19,0.002160484916354788,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-20,-0.0021513966484064118,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-21,-0.004753839216136507,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-22,-0.005073474735746458,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-23,-0.00218780664491261,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-24,-0.0006416134626412162,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-25,0.004735943969628592,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-26,0.0130435014018985,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-27,-0.015192322003322684,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-02-28,-0.044202501077631434,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-01,-0.08672605250942883,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-02,-0.07791002847131545,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-03,-0.12480878634595444,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-04,-0.10222122891368457,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-05,-0.0593836714814146,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-06,-0.07125208597189314,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-07,-0.10607794324572134,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-08,-0.002884182251448847,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
2022-03-09,0.08690698362574759,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-04
