date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,-0.00808019070598709,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-25,-0.010036578203556024,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-26,-0.026297414092108257,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-27,-0.026706047981993164,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-28,-0.03414781739753309,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-29,-0.024900312906733307,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-30,-0.020762808415933476,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-01-31,-0.016724718207050182,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-01,-0.009581519162537883,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-02,0.00039144304194060897,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-03,-0.006805677453395498,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-04,-0.019856099706258207,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-05,-0.013428595215458472,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-06,-0.009811090724658744,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-07,-0.010868271679608882,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-08,0.024456308847197183,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-09,0.017354006526285992,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-10,0.021495396310722975,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-11,0.02693195886062849,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-12,0.03105946335142823,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-13,0.034146967842227954,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-14,0.021382488128014104,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-15,0.04007974490304317,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-16,0.03599021194777298,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-17,0.06288016357096768,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-18,0.06555727729089161,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-19,0.06942478178169144,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-20,0.07229228627249115,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-21,0.060703354937056864,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-22,0.055557275631644934,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-23,0.06476964898195423,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-24,0.02281471008464525,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-25,0.0645736814039878,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-26,0.07540118589478748,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-27,0.08049869038558725,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-02-28,0.046185711037816116,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-01,-0.0048553695349287385,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-02,-0.06099111512003781,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-03,-0.08277034598279676,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-04,-0.12280094966620217,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-05,-0.06893344517540241,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-06,-0.044345940684602625,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-07,-0.1560276401482256,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-08,-0.25502550690179154,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-09,-0.17500235976839773,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-10,-0.061346906380339836,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-11,0.3588340942888511,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-12,0.37201159877965095,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-13,0.37763910327045064,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-14,0.3530683121729535,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-17,0.2954459600671378,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-18,0.31197651817109073,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-19,0.26954402266189065,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-20,0.2637315271526902,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-21,0.18445406965780364,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-22,0.1587871231616998,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-23,-0.09628380175734383,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-24,-0.15171328385339622,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-25,-0.11317298062265785,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-26,-0.1056254761318581,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-27,-0.10587797164105829,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-28,0.24021759444716279,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-29,0.29928071627541064,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-30,0.2863358089852369,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-03-31,0.304273078728105,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-01,0.27045050558311423,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-02,0.2635580100739141,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-03,0.2588155145647138,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
2022-04-04,0.23112691476462355,post,v8_pymc,Ucraina (Feb 2022),gasolio,2022-03-05
