date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,-0.004770536098008871,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-20,-0.005034963599578279,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-21,-0.003775185881541243,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-22,0.0011613116549859526,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-23,0.003901089373023081,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-24,0.005080867091060037,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-25,0.011915717563157346,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-26,0.010652458447118485,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-27,0.01249229557023851,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-28,0.016688878257336393,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-29,-0.009094050113213625,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-30,-0.006774272395176639,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-31,-0.006024494677139558,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-01,0.008401184479008228,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-02,-3.92552457095241e-05,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-03,-0.00964077131010882,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-04,-0.009840993592071745,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-05,-0.006902544610237371,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-06,-0.006502766892200307,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-07,-0.006232989174163317,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-08,-0.010797025795520276,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-09,-0.009606920554887932,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-10,-0.007193722250677492,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-11,0.0010803679907163133,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-12,0.002470145708753313,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-13,0.004409923426790363,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-14,0.004679701144827464,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-15,0.005634497507635283,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-16,0.005374275225672354,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-17,-0.0006806618305068013,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-18,-0.004225990654297684,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-19,-0.005605570338236887,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-20,-0.0016257926201997952,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-02-28
