date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,0.004532240906856,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-20,-0.0052974546014430135,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-21,-0.013706670607564891,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-22,-0.0014290281540389749,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-23,0.0032200204532405463,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-24,0.004921275607084219,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-25,0.005372530760927918,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-26,0.004540558765323582,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-27,0.0049944697415989225,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-28,-0.0003199422801843099,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-29,-0.012613532673627303,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-30,-0.03477853054071589,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-31,-0.02831727538687223,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-01,-0.027306020233028555,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-02,0.0080896001438929,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-03,0.01146055463096804,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-04,0.010601607531594281,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-05,0.010755797066786033,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-06,0.002696633074328103,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-07,0.003117888228171717,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-08,0.003239143382015336,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-09,0.004248490634519625,pre,v1_naive,Hormuz (Feb 2026),gasolio,2026-02-28
