date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.014757651215353745,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,0.007741240833703894,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.005007014821376166,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-4.970712866431137e-05,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.006825587560916835,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.008639813573244531,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.009704039585572172,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.016849734712425846,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.01850975641658542,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.01560398242891306,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,-0.007127536106097648,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,-0.0029336707407578433,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.006727896753085494,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.007212122765413248,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,-0.005872459469002028,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.006034642495678755,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.007015815065586017,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.009374291441736737,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.011518160173487474,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.01095393416115989,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.010299708148832132,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.01124659870769229,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.011162372695364603,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.01140360403555149,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.008825080803327778,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.011621780593530917,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.010697554581203278,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.009643328568875592,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,0.00287595084976483,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.0014653676820913786,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,-0.002769593694419037,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,-0.0005841169299263538,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,-0.0009898679317897618,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,-0.001794093944117503,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,-0.0022183199564451694,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,-0.002572545968772849,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.005114297298737774,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.014948533035497702,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,-0.011045729748711208,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.010619955761038885,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.009224181773366508,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,-0.003328407785694182,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,-0.005251380098376279,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.012608764385802274,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.00914922919529268,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.009806484964287349,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,-0.002620710976615037,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.007165063011057349,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.015050836998729583,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.023465570724002544,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.017201344711674893,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.030409031590634017,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.03121628553652661,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.03342654494209826,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.03176231892977058,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.02902809291744285,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.05038074516049107,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.041148191302781606,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.03814396529045391,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.031224164330043436,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-03,0.021237414896371154,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-04,0.018793188884043438,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-05,0.01730896287171582,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-06,0.01666473685938813,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-07,0.014043299285187272,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-08,0.012979073272859631,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-09,0.017334968283717084,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-10,0.01316692523192528,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-11,0.0134226992195976,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-12,0.012748473207269961,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-13,0.0133530195128789,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-14,0.014082389766791409,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-15,0.0151770237386597,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-16,0.009404357364238891,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-17,0.010912514857778083,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-18,0.00955828884545043,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-19,0.00920406283312275,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-20,0.010088967313839015,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-21,0.010084741301511324,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-22,0.012940412829976405,post,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
