date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.010391105368007608,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.021553953452735336,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,0.0026771583439168245,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.012808002503437027,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,0.002095985983432025,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.00727878578211999,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.007879038026024354,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.007599290269928838,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.00551221615546682,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.027292923499757843,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.023316314627026352,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.014224801808586901,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.001135237640657344,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.003364510115438174,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.005034257871533665,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.009845233751987426,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,-0.0025564184691017067,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.0004811676342932336,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.00555099472995052,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,0.0007958235898318511,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.001025571345927373,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.0017153191020229108,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.006611730449668979,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.009947205176741525,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.0003044784836616632,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.002034847781575644,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.014877081352165256,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.014736829108260796,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.015046576864356398,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.004717082015182145,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.0007909504525526467,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.009143821103318323,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
