date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.000544369453581911,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-16,4.1139890321256756e-05,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-17,-0.003059515471889096,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-18,-0.002246616307706839,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-19,-0.002013981229709194,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-20,0.004380457898121581,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-21,0.008969802535911203,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-22,0.012269147173700784,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-23,0.015398286671660905,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-24,0.00888282103521501,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-25,0.008827357087615673,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-26,0.010194814866493485,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-27,0.009538975112679593,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-28,0.014168319750469255,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-29,0.021227664388258932,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-30,-0.013534480301608448,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-31,-0.017331539934977186,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-01,-0.014185608297923813,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-02,-0.015744922135110473,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-03,-0.020443380997330562,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-04,-0.01879403635954091,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-05,-0.014664691721751305,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-06,-0.007174495630285799,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-07,-0.002642672231524007,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-08,-0.005499520484171072,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-09,-0.004406427017931536,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-10,-0.012907228956857308,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-11,-0.011067884319067745,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-12,-0.008968539681278004,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-13,-0.014469028155657787,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-14,-0.0042280927313203265,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-15,-0.005384217260277158,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-16,0.005836547290055005,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-17,0.01074642427308159,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-18,0.013405768910871196,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-19,0.015285113548660828,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-20,0.011045019189419386,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-21,0.008514363827209076,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-22,0.008266515513118883,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-23,0.011223970809472517,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-24,0.012841951197263668,post,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-25,0.018291295835053234,post,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-26,0.026670640472842927,post,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-27,-0.0014933957268584985,post,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-28,-0.03043178759564749,post,v1_naive,Ucraina (Feb 2022),benzina,2022-02-24
